26 saved {'val_OrigRecLoss': 0.01137, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 1.0001, 'val_kl_Loss_FC': 0.00028, 'val_kl_Loss_TC': 218.99742, 'val_kl_Loss_MI': 5.79655}
27 not saved {'val_OrigRecLoss': 0.01137, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 4.25433, 'val_kl_Loss_FC': 0.00016, 'val_kl_Loss_TC': 218.72592, 'val_kl_Loss_MI': 5.76551}
28 saved {'val_OrigRecLoss': 0.01132, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 5.50728, 'val_kl_Loss_FC': 4e-05, 'val_kl_Loss_TC': 218.84792, 'val_kl_Loss_MI': 5.77875}
29 saved {'val_OrigRecLoss': 0.01128, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 4.39592, 'val_kl_Loss_FC': 4e-05, 'val_kl_Loss_TC': 218.51253, 'val_kl_Loss_MI': 5.73635}
30 saved {'val_OrigRecLoss': 0.01125, 'val_FeatRecLoss': 0.003, 'val_kl_Loss_Z': 0.8908, 'val_kl_Loss_FC': 0.00055, 'val_kl_Loss_TC': 219.38518, 'val_kl_Loss_MI': 5.84585}
31 saved {'val_OrigRecLoss': 0.01115, 'val_FeatRecLoss': 0.00302, 'val_kl_Loss_Z': 4.09714, 'val_kl_Loss_FC': 0.00016, 'val_kl_Loss_TC': 218.77755, 'val_kl_Loss_MI': 5.77809}
32 saved {'val_OrigRecLoss': 0.0108, 'val_FeatRecLoss': 0.00321, 'val_kl_Loss_Z': 10.44267, 'val_kl_Loss_FC': 0.00019, 'val_kl_Loss_TC': 218.39779, 'val_kl_Loss_MI': 5.72505}
33 saved {'val_OrigRecLoss': 0.01072, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 13.02083, 'val_kl_Loss_FC': 0.0002, 'val_kl_Loss_TC': 219.088, 'val_kl_Loss_MI': 5.81607}
34 saved {'val_OrigRecLoss': 0.01024, 'val_FeatRecLoss': 0.003, 'val_kl_Loss_Z': 1.41133, 'val_kl_Loss_FC': 0.00025, 'val_kl_Loss_TC': 219.86995, 'val_kl_Loss_MI': 5.89297}
35 saved {'val_OrigRecLoss': 0.00958, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.91365, 'val_kl_Loss_FC': 0.00028, 'val_kl_Loss_TC': 219.40951, 'val_kl_Loss_MI': 5.85839}
36 saved {'val_OrigRecLoss': 0.00885, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 2.02174, 'val_kl_Loss_FC': 7e-05, 'val_kl_Loss_TC': 219.16774, 'val_kl_Loss_MI': 5.82587}
37 saved {'val_OrigRecLoss': 0.00807, 'val_FeatRecLoss': 0.00302, 'val_kl_Loss_Z': 7.0287, 'val_kl_Loss_FC': 0.00054, 'val_kl_Loss_TC': 218.8637, 'val_kl_Loss_MI': 5.79336}
38 saved {'val_OrigRecLoss': 0.00718, 'val_FeatRecLoss': 0.00299, 'val_kl_Loss_Z': 3.77908, 'val_kl_Loss_FC': 0.00029, 'val_kl_Loss_TC': 219.94886, 'val_kl_Loss_MI': 5.90982}
39 saved {'val_OrigRecLoss': 0.00656, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 1.16349, 'val_kl_Loss_FC': 4e-05, 'val_kl_Loss_TC': 219.17645, 'val_kl_Loss_MI': 5.83632}
40 saved {'val_OrigRecLoss': 0.00591, 'val_FeatRecLoss': 0.00299, 'val_kl_Loss_Z': 3.83503, 'val_kl_Loss_FC': 0.00051, 'val_kl_Loss_TC': 219.22697, 'val_kl_Loss_MI': 5.84243}
41 saved {'val_OrigRecLoss': 0.00545, 'val_FeatRecLoss': 0.00299, 'val_kl_Loss_Z': 0.93653, 'val_kl_Loss_FC': 0.00018, 'val_kl_Loss_TC': 218.99887, 'val_kl_Loss_MI': 5.81425}
42 saved {'val_OrigRecLoss': 0.00497, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 2.33508, 'val_kl_Loss_FC': 0.00013, 'val_kl_Loss_TC': 218.54399, 'val_kl_Loss_MI': 5.75592}
43 saved {'val_OrigRecLoss': 0.00466, 'val_FeatRecLoss': 0.00299, 'val_kl_Loss_Z': 0.23563, 'val_kl_Loss_FC': 0.0003, 'val_kl_Loss_TC': 218.07913, 'val_kl_Loss_MI': 5.6851}
44 not saved {'val_OrigRecLoss': 0.00473, 'val_FeatRecLoss': 0.00299, 'val_kl_Loss_Z': 1.46573, 'val_kl_Loss_FC': 0.00017, 'val_kl_Loss_TC': 218.24275, 'val_kl_Loss_MI': 5.70772}
45 saved {'val_OrigRecLoss': 0.00438, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 5.26295, 'val_kl_Loss_FC': 0.00014, 'val_kl_Loss_TC': 217.98987, 'val_kl_Loss_MI': 5.67259}
46 saved {'val_OrigRecLoss': 0.00406, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 16.74838, 'val_kl_Loss_FC': 6e-05, 'val_kl_Loss_TC': 218.14336, 'val_kl_Loss_MI': 5.69507}
47 saved {'val_OrigRecLoss': 0.00386, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 5.31994, 'val_kl_Loss_FC': 0.00017, 'val_kl_Loss_TC': 217.96711, 'val_kl_Loss_MI': 5.66971}
48 not saved {'val_OrigRecLoss': 0.00391, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 1.47418, 'val_kl_Loss_FC': 2e-05, 'val_kl_Loss_TC': 217.865, 'val_kl_Loss_MI': 5.653}
49 saved {'val_OrigRecLoss': 0.00357, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 1.5414, 'val_kl_Loss_FC': 9e-05, 'val_kl_Loss_TC': 217.97808, 'val_kl_Loss_MI': 5.6706}
50 saved {'val_OrigRecLoss': 0.0035, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 0.15659, 'val_kl_Loss_FC': 0.00023, 'val_kl_Loss_TC': 217.82635, 'val_kl_Loss_MI': 5.64997}
51 saved {'val_OrigRecLoss': 0.00349, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 1.83785, 'val_kl_Loss_FC': 8e-05, 'val_kl_Loss_TC': 217.68869, 'val_kl_Loss_MI': 5.62421}
52 saved {'val_OrigRecLoss': 0.00338, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 4.33909, 'val_kl_Loss_FC': 0.00018, 'val_kl_Loss_TC': 218.08304, 'val_kl_Loss_MI': 5.69478}
53 saved {'val_OrigRecLoss': 0.00318, 'val_FeatRecLoss': 0.003, 'val_kl_Loss_Z': 6.78529, 'val_kl_Loss_FC': 0.00012, 'val_kl_Loss_TC': 218.71951, 'val_kl_Loss_MI': 5.7837}
54 saved {'val_OrigRecLoss': 0.00312, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 3.66004, 'val_kl_Loss_FC': 0.0001, 'val_kl_Loss_TC': 218.07146, 'val_kl_Loss_MI': 5.69122}
55 not saved {'val_OrigRecLoss': 0.00318, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 4.28263, 'val_kl_Loss_FC': 7e-05, 'val_kl_Loss_TC': 217.73719, 'val_kl_Loss_MI': 5.63648}
56 saved {'val_OrigRecLoss': 0.00296, 'val_FeatRecLoss': 0.00301, 'val_kl_Loss_Z': 5.03914, 'val_kl_Loss_FC': 7e-05, 'val_kl_Loss_TC': 218.07325, 'val_kl_Loss_MI': 5.68458}
57 not saved {'val_OrigRecLoss': 0.00303, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 2.00841, 'val_kl_Loss_FC': 0.0003, 'val_kl_Loss_TC': 219.42463, 'val_kl_Loss_MI': 5.8807}
58 saved {'val_OrigRecLoss': 0.00288, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 1.12234, 'val_kl_Loss_FC': 2e-05, 'val_kl_Loss_TC': 218.05678, 'val_kl_Loss_MI': 5.6973}
59 not saved {'val_OrigRecLoss': 0.00278, 'val_FeatRecLoss': 0.00299, 'val_kl_Loss_Z': 2.80794, 'val_kl_Loss_FC': 0.00025, 'val_kl_Loss_TC': 217.79482, 'val_kl_Loss_MI': 5.65139}
60 saved {'val_OrigRecLoss': 0.0028, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 1.75383, 'val_kl_Loss_FC': 6e-05, 'val_kl_Loss_TC': 218.55515, 'val_kl_Loss_MI': 5.77543}
61 saved {'val_OrigRecLoss': 0.0027, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 5.34751, 'val_kl_Loss_FC': 0.00019, 'val_kl_Loss_TC': 217.88488, 'val_kl_Loss_MI': 5.67083}
62 not saved {'val_OrigRecLoss': 0.00281, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 3.82243, 'val_kl_Loss_FC': 0.0001, 'val_kl_Loss_TC': 217.72463, 'val_kl_Loss_MI': 5.64411}
63 not saved {'val_OrigRecLoss': 0.0026, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 9.35642, 'val_kl_Loss_FC': 0.00012, 'val_kl_Loss_TC': 217.60149, 'val_kl_Loss_MI': 5.61626}
64 not saved {'val_OrigRecLoss': 0.00268, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 2.9584, 'val_kl_Loss_FC': 0.00012, 'val_kl_Loss_TC': 217.77751, 'val_kl_Loss_MI': 5.65119}
65 not saved {'val_OrigRecLoss': 0.00266, 'val_FeatRecLoss': 0.00315, 'val_kl_Loss_Z': 6.74582, 'val_kl_Loss_FC': 0.0003, 'val_kl_Loss_TC': 217.8629, 'val_kl_Loss_MI': 5.65016}
66 not saved {'val_OrigRecLoss': 0.00258, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 8.69758, 'val_kl_Loss_FC': 2e-05, 'val_kl_Loss_TC': 217.72521, 'val_kl_Loss_MI': 5.63964}
67 not saved {'val_OrigRecLoss': 0.00242, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 5.41688, 'val_kl_Loss_FC': 0.00014, 'val_kl_Loss_TC': 217.74578, 'val_kl_Loss_MI': 5.64501}
68 not saved {'val_OrigRecLoss': 0.00242, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 5.09713, 'val_kl_Loss_FC': 0.00014, 'val_kl_Loss_TC': 217.5374, 'val_kl_Loss_MI': 5.60391}
69 not saved {'val_OrigRecLoss': 0.00243, 'val_FeatRecLoss': 0.00304, 'val_kl_Loss_Z': 3.65003, 'val_kl_Loss_FC': 0.00018, 'val_kl_Loss_TC': 217.92036, 'val_kl_Loss_MI': 5.67714}
70 not saved {'val_OrigRecLoss': 0.00235, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 2.94458, 'val_kl_Loss_FC': 0.00014, 'val_kl_Loss_TC': 217.64901, 'val_kl_Loss_MI': 5.62626}
