32 not saved {'val_ReconOut_gen': 0.00159, 'val_ReconOut_ext': 0.00131, 'val_FeatRecLoss': 0.00077, 'val_kl_Loss_Z': 0.80492, 'val_kl_Loss_FC': 0.88558}
33 not saved {'val_ReconOut_gen': 0.00155, 'val_ReconOut_ext': 0.00129, 'val_FeatRecLoss': 0.00075, 'val_kl_Loss_Z': 0.82559, 'val_kl_Loss_FC': 0.92098}
34 not saved {'val_ReconOut_gen': 0.00162, 'val_ReconOut_ext': 0.00135, 'val_FeatRecLoss': 0.0008, 'val_kl_Loss_Z': 0.82704, 'val_kl_Loss_FC': 0.83284}
35 not saved {'val_ReconOut_gen': 0.00156, 'val_ReconOut_ext': 0.00134, 'val_FeatRecLoss': 0.00076, 'val_kl_Loss_Z': 0.83698, 'val_kl_Loss_FC': 0.84544}
36 not saved {'val_ReconOut_gen': 0.00157, 'val_ReconOut_ext': 0.00131, 'val_FeatRecLoss': 0.00077, 'val_kl_Loss_Z': 0.83138, 'val_kl_Loss_FC': 0.87614}
37 not saved {'val_ReconOut_gen': 0.00156, 'val_ReconOut_ext': 0.0013, 'val_FeatRecLoss': 0.00077, 'val_kl_Loss_Z': 0.80296, 'val_kl_Loss_FC': 0.88997}
38 not saved {'val_ReconOut_gen': 0.00154, 'val_ReconOut_ext': 0.0013, 'val_FeatRecLoss': 0.00076, 'val_kl_Loss_Z': 0.8252, 'val_kl_Loss_FC': 0.884}
39 not saved {'val_ReconOut_gen': 0.00156, 'val_ReconOut_ext': 0.0013, 'val_FeatRecLoss': 0.00077, 'val_kl_Loss_Z': 0.82716, 'val_kl_Loss_FC': 0.88127}
40 not saved {'val_ReconOut_gen': 0.00158, 'val_ReconOut_ext': 0.0013, 'val_FeatRecLoss': 0.00077, 'val_kl_Loss_Z': 0.81289, 'val_kl_Loss_FC': 0.89092}
41 not saved {'val_ReconOut_gen': 0.00157, 'val_ReconOut_ext': 0.00129, 'val_FeatRecLoss': 0.00075, 'val_kl_Loss_Z': 0.84049, 'val_kl_Loss_FC': 0.91944}
42 saved {'val_ReconOut_gen': 0.00153, 'val_ReconOut_ext': 0.00129, 'val_FeatRecLoss': 0.00076, 'val_kl_Loss_Z': 0.84621, 'val_kl_Loss_FC': 0.90408}
43 not saved {'val_ReconOut_gen': 0.00156, 'val_ReconOut_ext': 0.00129, 'val_FeatRecLoss': 0.00076, 'val_kl_Loss_Z': 0.81185, 'val_kl_Loss_FC': 0.88718}
44 not saved {'val_ReconOut_gen': 0.00155, 'val_ReconOut_ext': 0.00129, 'val_FeatRecLoss': 0.00076, 'val_kl_Loss_Z': 0.82219, 'val_kl_Loss_FC': 0.87658}
45 not saved {'val_ReconOut_gen': 0.00162, 'val_ReconOut_ext': 0.00128, 'val_FeatRecLoss': 0.00076, 'val_kl_Loss_Z': 0.81255, 'val_kl_Loss_FC': 0.91977}
46 saved {'val_ReconOut_gen': 0.00153, 'val_ReconOut_ext': 0.0013, 'val_FeatRecLoss': 0.00076, 'val_kl_Loss_Z': 0.83388, 'val_kl_Loss_FC': 0.88614}
47 not saved {'val_ReconOut_gen': 0.00154, 'val_ReconOut_ext': 0.0013, 'val_FeatRecLoss': 0.00076, 'val_kl_Loss_Z': 0.81296, 'val_kl_Loss_FC': 0.88761}
48 not saved {'val_ReconOut_gen': 0.00162, 'val_ReconOut_ext': 0.00133, 'val_FeatRecLoss': 0.00078, 'val_kl_Loss_Z': 0.79816, 'val_kl_Loss_FC': 0.84695}
49 not saved {'val_ReconOut_gen': 0.00156, 'val_ReconOut_ext': 0.00127, 'val_FeatRecLoss': 0.00074, 'val_kl_Loss_Z': 0.82304, 'val_kl_Loss_FC': 0.93995}
50 not saved {'val_ReconOut_gen': 0.00155, 'val_ReconOut_ext': 0.0013, 'val_FeatRecLoss': 0.00075, 'val_kl_Loss_Z': 0.83884, 'val_kl_Loss_FC': 0.89711}
51 not saved {'val_ReconOut_gen': 0.00153, 'val_ReconOut_ext': 0.00126, 'val_FeatRecLoss': 0.00074, 'val_kl_Loss_Z': 0.84198, 'val_kl_Loss_FC': 0.93146}
52 not saved {'val_ReconOut_gen': 0.00154, 'val_ReconOut_ext': 0.00128, 'val_FeatRecLoss': 0.00075, 'val_kl_Loss_Z': 0.82, 'val_kl_Loss_FC': 0.90089}
53 not saved {'val_ReconOut_gen': 0.00159, 'val_ReconOut_ext': 0.00131, 'val_FeatRecLoss': 0.00075, 'val_kl_Loss_Z': 0.82151, 'val_kl_Loss_FC': 0.88612}
54 not saved {'val_ReconOut_gen': 0.00157, 'val_ReconOut_ext': 0.00128, 'val_FeatRecLoss': 0.00075, 'val_kl_Loss_Z': 0.83246, 'val_kl_Loss_FC': 0.90324}
55 not saved {'val_ReconOut_gen': 0.00155, 'val_ReconOut_ext': 0.00128, 'val_FeatRecLoss': 0.00076, 'val_kl_Loss_Z': 0.81569, 'val_kl_Loss_FC': 0.89865}
56 not saved {'val_ReconOut_gen': 0.00154, 'val_ReconOut_ext': 0.00127, 'val_FeatRecLoss': 0.00073, 'val_kl_Loss_Z': 0.8188, 'val_kl_Loss_FC': 0.92321}
57 not saved {'val_ReconOut_gen': 0.00165, 'val_ReconOut_ext': 0.00131, 'val_FeatRecLoss': 0.00076, 'val_kl_Loss_Z': 0.84698, 'val_kl_Loss_FC': 0.91713}
58 not saved {'val_ReconOut_gen': 0.00154, 'val_ReconOut_ext': 0.0013, 'val_FeatRecLoss': 0.00074, 'val_kl_Loss_Z': 0.84838, 'val_kl_Loss_FC': 0.92197}
59 not saved {'val_ReconOut_gen': 0.00155, 'val_ReconOut_ext': 0.00128, 'val_FeatRecLoss': 0.00074, 'val_kl_Loss_Z': 0.83203, 'val_kl_Loss_FC': 0.89809}
60 not saved {'val_ReconOut_gen': 0.00168, 'val_ReconOut_ext': 0.00132, 'val_FeatRecLoss': 0.00079, 'val_kl_Loss_Z': 0.84288, 'val_kl_Loss_FC': 0.90361}
61 not saved {'val_ReconOut_gen': 0.00157, 'val_ReconOut_ext': 0.00131, 'val_FeatRecLoss': 0.00076, 'val_kl_Loss_Z': 0.82713, 'val_kl_Loss_FC': 0.88299}
62 not saved {'val_ReconOut_gen': 0.00154, 'val_ReconOut_ext': 0.0013, 'val_FeatRecLoss': 0.00075, 'val_kl_Loss_Z': 0.82315, 'val_kl_Loss_FC': 0.86658}
63 not saved {'val_ReconOut_gen': 0.00165, 'val_ReconOut_ext': 0.00131, 'val_FeatRecLoss': 0.00079, 'val_kl_Loss_Z': 0.83298, 'val_kl_Loss_FC': 0.89176}
64 not saved {'val_ReconOut_gen': 0.00157, 'val_ReconOut_ext': 0.00129, 'val_FeatRecLoss': 0.00075, 'val_kl_Loss_Z': 0.82933, 'val_kl_Loss_FC': 0.87907}
65 not saved {'val_ReconOut_gen': 0.00157, 'val_ReconOut_ext': 0.0013, 'val_FeatRecLoss': 0.00075, 'val_kl_Loss_Z': 0.82751, 'val_kl_Loss_FC': 0.87923}
66 not saved {'val_ReconOut_gen': 0.0016, 'val_ReconOut_ext': 0.00131, 'val_FeatRecLoss': 0.00075, 'val_kl_Loss_Z': 0.81499, 'val_kl_Loss_FC': 0.88012}
67 not saved {'val_ReconOut_gen': 0.00156, 'val_ReconOut_ext': 0.00127, 'val_FeatRecLoss': 0.00074, 'val_kl_Loss_Z': 0.84073, 'val_kl_Loss_FC': 0.91093}
68 not saved {'val_ReconOut_gen': 0.00156, 'val_ReconOut_ext': 0.00127, 'val_FeatRecLoss': 0.00076, 'val_kl_Loss_Z': 0.8254, 'val_kl_Loss_FC': 0.89907}
69 not saved {'val_ReconOut_gen': 0.0016, 'val_ReconOut_ext': 0.00129, 'val_FeatRecLoss': 0.00076, 'val_kl_Loss_Z': 0.81939, 'val_kl_Loss_FC': 0.86598}
70 not saved {'val_ReconOut_gen': 0.00154, 'val_ReconOut_ext': 0.00128, 'val_FeatRecLoss': 0.00074, 'val_kl_Loss_Z': 0.83187, 'val_kl_Loss_FC': 0.8863}
