26 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 6.30924, 'val_kl_Loss_FC': 0.00075, 'val_kl_Loss_TC': 220.65794, 'val_kl_Loss_MI': 5.88169}
27 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 10.60584, 'val_kl_Loss_FC': 0.00066, 'val_kl_Loss_TC': 220.59584, 'val_kl_Loss_MI': 5.88512}
28 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.93996, 'val_kl_Loss_FC': 0.00099, 'val_kl_Loss_TC': 220.60969, 'val_kl_Loss_MI': 5.88352}
29 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 5.49282, 'val_kl_Loss_FC': 0.00058, 'val_kl_Loss_TC': 220.47742, 'val_kl_Loss_MI': 5.88191}
30 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.99116, 'val_kl_Loss_FC': 0.00093, 'val_kl_Loss_TC': 220.6527, 'val_kl_Loss_MI': 5.90299}
31 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 4.15067, 'val_kl_Loss_FC': 0.00067, 'val_kl_Loss_TC': 220.6472, 'val_kl_Loss_MI': 5.90364}
32 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.27595, 'val_kl_Loss_FC': 0.00031, 'val_kl_Loss_TC': 220.54457, 'val_kl_Loss_MI': 5.91015}
33 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 5.34408, 'val_kl_Loss_FC': 0.00089, 'val_kl_Loss_TC': 220.37561, 'val_kl_Loss_MI': 5.90362}
34 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 3.89519, 'val_kl_Loss_FC': 0.00086, 'val_kl_Loss_TC': 220.23435, 'val_kl_Loss_MI': 5.89651}
35 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 4.71993, 'val_kl_Loss_FC': 0.00146, 'val_kl_Loss_TC': 220.07577, 'val_kl_Loss_MI': 5.89082}
36 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.06335, 'val_kl_Loss_FC': 0.00257, 'val_kl_Loss_TC': 220.21742, 'val_kl_Loss_MI': 5.90886}
37 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 11.51255, 'val_kl_Loss_FC': 0.00278, 'val_kl_Loss_TC': 220.15251, 'val_kl_Loss_MI': 5.90419}
38 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.11936, 'val_kl_Loss_FC': 0.00184, 'val_kl_Loss_TC': 220.37447, 'val_kl_Loss_MI': 5.91867}
