26 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 5.58879, 'val_kl_Loss_FC': 0.00265, 'val_kl_Loss_TC': 129.73593, 'val_kl_Loss_MI': 5.84833}
27 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 3.07436, 'val_kl_Loss_FC': 0.00363, 'val_kl_Loss_TC': 129.70516, 'val_kl_Loss_MI': 5.84244}
28 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 5.43868, 'val_kl_Loss_FC': 0.00186, 'val_kl_Loss_TC': 129.77564, 'val_kl_Loss_MI': 5.85682}
29 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.35468, 'val_kl_Loss_FC': 0.0018, 'val_kl_Loss_TC': 129.66839, 'val_kl_Loss_MI': 5.84701}
30 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.8283, 'val_kl_Loss_FC': 0.00233, 'val_kl_Loss_TC': 129.93038, 'val_kl_Loss_MI': 5.863}
31 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 4.86426, 'val_kl_Loss_FC': 0.00319, 'val_kl_Loss_TC': 129.88273, 'val_kl_Loss_MI': 5.84963}
32 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 3.05831, 'val_kl_Loss_FC': 0.00187, 'val_kl_Loss_TC': 130.09404, 'val_kl_Loss_MI': 5.88003}
33 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 9.92483, 'val_kl_Loss_FC': 0.00229, 'val_kl_Loss_TC': 130.07862, 'val_kl_Loss_MI': 5.872}
34 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 9.25731, 'val_kl_Loss_FC': 0.00256, 'val_kl_Loss_TC': 130.26516, 'val_kl_Loss_MI': 5.88081}
35 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 5.52743, 'val_kl_Loss_FC': 0.00318, 'val_kl_Loss_TC': 130.32067, 'val_kl_Loss_MI': 5.87671}
36 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.50106, 'val_kl_Loss_FC': 0.00236, 'val_kl_Loss_TC': 130.26781, 'val_kl_Loss_MI': 5.88098}
37 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 4.30431, 'val_kl_Loss_FC': 0.00215, 'val_kl_Loss_TC': 130.24607, 'val_kl_Loss_MI': 5.88175}
38 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.91821, 'val_kl_Loss_FC': 0.00235, 'val_kl_Loss_TC': 130.15262, 'val_kl_Loss_MI': 5.86217}
39 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 20.13198, 'val_kl_Loss_FC': 0.00261, 'val_kl_Loss_TC': 130.36408, 'val_kl_Loss_MI': 5.90987}
40 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 2.62907, 'val_kl_Loss_FC': 0.00378, 'val_kl_Loss_TC': 130.48379, 'val_kl_Loss_MI': 5.87763}
41 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 15.73621, 'val_kl_Loss_FC': 0.00332, 'val_kl_Loss_TC': 130.66405, 'val_kl_Loss_MI': 5.92551}
42 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 7.89722, 'val_kl_Loss_FC': 0.00201, 'val_kl_Loss_TC': 130.46221, 'val_kl_Loss_MI': 5.92664}
43 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 4.08414, 'val_kl_Loss_FC': 0.0027, 'val_kl_Loss_TC': 130.41587, 'val_kl_Loss_MI': 5.90534}
44 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 8.38542, 'val_kl_Loss_FC': 0.00266, 'val_kl_Loss_TC': 130.5345, 'val_kl_Loss_MI': 5.93069}
45 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 7.94957, 'val_kl_Loss_FC': 0.00215, 'val_kl_Loss_TC': 130.57695, 'val_kl_Loss_MI': 5.92777}
46 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 2.23522, 'val_kl_Loss_FC': 0.00324, 'val_kl_Loss_TC': 130.52601, 'val_kl_Loss_MI': 5.90928}
47 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 8.92278, 'val_kl_Loss_FC': 0.001, 'val_kl_Loss_TC': 130.37939, 'val_kl_Loss_MI': 5.92867}
48 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 3.49444, 'val_kl_Loss_FC': 0.00244, 'val_kl_Loss_TC': 130.45661, 'val_kl_Loss_MI': 5.91935}
49 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 2.91946, 'val_kl_Loss_FC': 0.00267, 'val_kl_Loss_TC': 130.69404, 'val_kl_Loss_MI': 5.93603}
50 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 8.62376, 'val_kl_Loss_FC': 0.00255, 'val_kl_Loss_TC': 130.89081, 'val_kl_Loss_MI': 5.96803}
51 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.33312, 'val_kl_Loss_FC': 0.00182, 'val_kl_Loss_TC': 130.52407, 'val_kl_Loss_MI': 5.93115}
52 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 6.16382, 'val_kl_Loss_FC': 0.00247, 'val_kl_Loss_TC': 130.66815, 'val_kl_Loss_MI': 5.94954}
53 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 11.07067, 'val_kl_Loss_FC': 0.00112, 'val_kl_Loss_TC': 130.51788, 'val_kl_Loss_MI': 5.96002}
54 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 11.10518, 'val_kl_Loss_FC': 0.00141, 'val_kl_Loss_TC': 130.78167, 'val_kl_Loss_MI': 5.99319}
55 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 17.6634, 'val_kl_Loss_FC': 0.00285, 'val_kl_Loss_TC': 131.04604, 'val_kl_Loss_MI': 6.01987}
56 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.55494, 'val_kl_Loss_FC': 0.0017, 'val_kl_Loss_TC': 130.83003, 'val_kl_Loss_MI': 5.98934}
