1 saved {'val_OrigRecLoss': 0.01178, 'val_FeatRecLoss': 0.00155, 'val_kl_Loss_Z': 1.55629, 'val_kl_Loss_FC': 0.00985}
2 saved {'val_OrigRecLoss': 0.01158, 'val_FeatRecLoss': 0.0015, 'val_kl_Loss_Z': 0.47188, 'val_kl_Loss_FC': 0.00937}
3 saved {'val_OrigRecLoss': 0.01149, 'val_FeatRecLoss': 0.0015, 'val_kl_Loss_Z': 0.33354, 'val_kl_Loss_FC': 0.00839}
4 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00147, 'val_kl_Loss_Z': 0.32111, 'val_kl_Loss_FC': 0.00794}
5 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00141, 'val_kl_Loss_Z': 0.33307, 'val_kl_Loss_FC': 0.00984}
6 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00132, 'val_kl_Loss_Z': 0.28646, 'val_kl_Loss_FC': 0.01376}
7 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00135, 'val_kl_Loss_Z': 0.25584, 'val_kl_Loss_FC': 0.01185}
8 not saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00134, 'val_kl_Loss_Z': 0.23047, 'val_kl_Loss_FC': 0.01164}
9 saved {'val_OrigRecLoss': 0.01142, 'val_FeatRecLoss': 0.0014, 'val_kl_Loss_Z': 0.22201, 'val_kl_Loss_FC': 0.00866}
10 saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.0014, 'val_kl_Loss_Z': 0.20831, 'val_kl_Loss_FC': 0.00922}
11 saved {'val_OrigRecLoss': 0.01139, 'val_FeatRecLoss': 0.00139, 'val_kl_Loss_Z': 0.20519, 'val_kl_Loss_FC': 0.00935}
12 saved {'val_OrigRecLoss': 0.01136, 'val_FeatRecLoss': 0.0014, 'val_kl_Loss_Z': 0.19784, 'val_kl_Loss_FC': 0.00904}
13 saved {'val_OrigRecLoss': 0.01134, 'val_FeatRecLoss': 0.00141, 'val_kl_Loss_Z': 0.18846, 'val_kl_Loss_FC': 0.00866}
14 saved {'val_OrigRecLoss': 0.01132, 'val_FeatRecLoss': 0.00141, 'val_kl_Loss_Z': 0.18501, 'val_kl_Loss_FC': 0.00863}
15 saved {'val_OrigRecLoss': 0.01129, 'val_FeatRecLoss': 0.00134, 'val_kl_Loss_Z': 0.18034, 'val_kl_Loss_FC': 0.01231}
16 saved {'val_OrigRecLoss': 0.01117, 'val_FeatRecLoss': 0.00141, 'val_kl_Loss_Z': 0.17194, 'val_kl_Loss_FC': 0.00846}
17 saved {'val_OrigRecLoss': 0.01097, 'val_FeatRecLoss': 0.00156, 'val_kl_Loss_Z': 0.16888, 'val_kl_Loss_FC': 0.00317}
18 saved {'val_OrigRecLoss': 0.01054, 'val_FeatRecLoss': 0.00161, 'val_kl_Loss_Z': 0.17558, 'val_kl_Loss_FC': 0.00289}
