27 saved {'val_OrigRecLoss': 0.01066, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 2.84273, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.18402, 'val_kl_Loss_MI': 5.78768}
28 saved {'val_OrigRecLoss': 0.01037, 'val_FeatRecLoss': 0.00299, 'val_kl_Loss_Z': 0.48403, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 126.09318, 'val_kl_Loss_MI': 5.77248}
29 saved {'val_OrigRecLoss': 0.00977, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.68854, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.05849, 'val_kl_Loss_MI': 5.76831}
30 saved {'val_OrigRecLoss': 0.00879, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.63505, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.0599, 'val_kl_Loss_MI': 5.77021}
31 saved {'val_OrigRecLoss': 0.0081, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 5.06967, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.16973, 'val_kl_Loss_MI': 5.79123}
32 saved {'val_OrigRecLoss': 0.00652, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 3.31789, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 126.07421, 'val_kl_Loss_MI': 5.7761}
33 saved {'val_OrigRecLoss': 0.00598, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 2.84913, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.06211, 'val_kl_Loss_MI': 5.77499}
34 saved {'val_OrigRecLoss': 0.00566, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 3.00971, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 125.92996, 'val_kl_Loss_MI': 5.75165}
35 saved {'val_OrigRecLoss': 0.00457, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 1.9229, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.13751, 'val_kl_Loss_MI': 5.78956}
36 saved {'val_OrigRecLoss': 0.00415, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 2.03118, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 125.99756, 'val_kl_Loss_MI': 5.76682}
37 saved {'val_OrigRecLoss': 0.00401, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 2.44116, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.02871, 'val_kl_Loss_MI': 5.77395}
38 saved {'val_OrigRecLoss': 0.00369, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 2.00348, 'val_kl_Loss_FC': 2e-05, 'val_kl_Loss_TC': 126.13078, 'val_kl_Loss_MI': 5.79422}
39 saved {'val_OrigRecLoss': 0.00343, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 2.10132, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 126.00623, 'val_kl_Loss_MI': 5.77586}
40 saved {'val_OrigRecLoss': 0.00329, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.55188, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.38638, 'val_kl_Loss_MI': 5.84024}
41 saved {'val_OrigRecLoss': 0.00328, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 3.10879, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.05203, 'val_kl_Loss_MI': 5.78619}
42 not saved {'val_OrigRecLoss': 0.00329, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 3.17239, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 126.15656, 'val_kl_Loss_MI': 5.8061}
43 saved {'val_OrigRecLoss': 0.00298, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 1.12493, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.12132, 'val_kl_Loss_MI': 5.80199}
44 saved {'val_OrigRecLoss': 0.00293, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.42123, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 126.00625, 'val_kl_Loss_MI': 5.78449}
45 not saved {'val_OrigRecLoss': 0.00275, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 3.10534, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 126.15539, 'val_kl_Loss_MI': 5.81258}
46 not saved {'val_OrigRecLoss': 0.00265, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 1.9805, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.04481, 'val_kl_Loss_MI': 5.79429}
47 saved {'val_OrigRecLoss': 0.00259, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.4604, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 126.03308, 'val_kl_Loss_MI': 5.79615}
48 saved {'val_OrigRecLoss': 0.00272, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 8.60464, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.17615, 'val_kl_Loss_MI': 5.8241}
49 saved {'val_OrigRecLoss': 0.00254, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 1.9931, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.04234, 'val_kl_Loss_MI': 5.80189}
50 saved {'val_OrigRecLoss': 0.00245, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 2.181, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.16319, 'val_kl_Loss_MI': 5.82456}
51 not saved {'val_OrigRecLoss': 0.0024, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 2.30886, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.13563, 'val_kl_Loss_MI': 5.81986}
52 not saved {'val_OrigRecLoss': 0.00232, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.67517, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.17027, 'val_kl_Loss_MI': 5.83525}
53 saved {'val_OrigRecLoss': 0.00238, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 1.23047, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 126.11908, 'val_kl_Loss_MI': 5.82774}
54 not saved {'val_OrigRecLoss': 0.00227, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 2.94235, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.05846, 'val_kl_Loss_MI': 5.82465}
