1 saved {'val_OrigRecLoss': 0.01167, 'val_FeatRecLoss': 0.00327, 'val_kl_Loss_Z': 0.34319}
2 saved {'val_OrigRecLoss': 0.01154, 'val_FeatRecLoss': 0.00315, 'val_kl_Loss_Z': 0.2362}
3 saved {'val_OrigRecLoss': 0.0115, 'val_FeatRecLoss': 0.00308, 'val_kl_Loss_Z': 0.21745}
4 saved {'val_OrigRecLoss': 0.0115, 'val_FeatRecLoss': 0.00304, 'val_kl_Loss_Z': 0.20076}
5 saved {'val_OrigRecLoss': 0.01149, 'val_FeatRecLoss': 0.00299, 'val_kl_Loss_Z': 0.19423}
6 saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00294, 'val_kl_Loss_Z': 0.18841}
7 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00293, 'val_kl_Loss_Z': 0.18638}
8 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00287, 'val_kl_Loss_Z': 0.17909}
9 not saved {'val_OrigRecLoss': 0.0115, 'val_FeatRecLoss': 0.00282, 'val_kl_Loss_Z': 0.17323}
10 not saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00277, 'val_kl_Loss_Z': 0.16369}
11 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00273, 'val_kl_Loss_Z': 0.15824}
12 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00266, 'val_kl_Loss_Z': 0.16236}
13 not saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.0026, 'val_kl_Loss_Z': 0.15381}
14 not saved {'val_OrigRecLoss': 0.01151, 'val_FeatRecLoss': 0.00255, 'val_kl_Loss_Z': 0.14549}
15 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00248, 'val_kl_Loss_Z': 0.14282}
16 not saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00239, 'val_kl_Loss_Z': 0.13836}
17 not saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00232, 'val_kl_Loss_Z': 0.13676}
