1 saved {'val_OrigRecLoss': 0.01171, 'val_FeatRecLoss': 0.00326, 'val_kl_Loss_Z': 0.23203, 'val_kl_Loss_FC': 0.00116, 'val_kl_Loss_TC': 0.00605, 'val_kl_Loss_DTC': 0.00997}
2 saved {'val_OrigRecLoss': 0.01154, 'val_FeatRecLoss': 0.00316, 'val_kl_Loss_Z': 0.19454, 'val_kl_Loss_FC': 7e-05, 'val_kl_Loss_TC': 0.00233, 'val_kl_Loss_DTC': 0.00981}
3 saved {'val_OrigRecLoss': 0.0115, 'val_FeatRecLoss': 0.00315, 'val_kl_Loss_Z': 0.19237, 'val_kl_Loss_FC': 5e-05, 'val_kl_Loss_TC': 0.00188, 'val_kl_Loss_DTC': 0.00844}
4 saved {'val_OrigRecLoss': 0.01149, 'val_FeatRecLoss': 0.00315, 'val_kl_Loss_Z': 0.19092, 'val_kl_Loss_FC': 0.00024, 'val_kl_Loss_TC': 0.00707, 'val_kl_Loss_DTC': 0.00079}
5 saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00314, 'val_kl_Loss_Z': 0.18365, 'val_kl_Loss_FC': 0.00017, 'val_kl_Loss_TC': 0.00533, 'val_kl_Loss_DTC': 0.0011}
6 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00315, 'val_kl_Loss_Z': 0.18619, 'val_kl_Loss_FC': 0.00068, 'val_kl_Loss_TC': 0.01293, 'val_kl_Loss_DTC': 0.00136}
7 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00313, 'val_kl_Loss_Z': 0.18625, 'val_kl_Loss_FC': 0.00099, 'val_kl_Loss_TC': 0.00641, 'val_kl_Loss_DTC': 0.00094}
8 not saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00312, 'val_kl_Loss_Z': 0.18935, 'val_kl_Loss_FC': 0.00011, 'val_kl_Loss_TC': 0.00336, 'val_kl_Loss_DTC': 0.00107}
9 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00312, 'val_kl_Loss_Z': 0.1851, 'val_kl_Loss_FC': 0.00042, 'val_kl_Loss_TC': 0.00474, 'val_kl_Loss_DTC': 0.00053}
10 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00312, 'val_kl_Loss_Z': 0.17949, 'val_kl_Loss_FC': 0.00065, 'val_kl_Loss_TC': 0.00558, 'val_kl_Loss_DTC': 0.00162}
11 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 0.17066, 'val_kl_Loss_FC': 0.00019, 'val_kl_Loss_TC': 0.00048, 'val_kl_Loss_DTC': 0.00138}
