26 saved {'val_OrigRecLoss': 0.01137, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 0.11499, 'val_kl_Loss_FC': 6e-05, 'val_kl_Loss_TC': 0.00921, 'val_kl_Loss_DTC': 0.00089}
27 saved {'val_OrigRecLoss': 0.01137, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 0.10976, 'val_kl_Loss_FC': 0.00041, 'val_kl_Loss_TC': 0.00307, 'val_kl_Loss_DTC': 0.00113}
28 saved {'val_OrigRecLoss': 0.01133, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 0.1141, 'val_kl_Loss_FC': 0.00027, 'val_kl_Loss_TC': 0.00536, 'val_kl_Loss_DTC': 0.00171}
29 saved {'val_OrigRecLoss': 0.01129, 'val_FeatRecLoss': 0.00311, 'val_kl_Loss_Z': 0.11187, 'val_kl_Loss_FC': 0.00018, 'val_kl_Loss_TC': 0.0016, 'val_kl_Loss_DTC': 0.00241}
30 saved {'val_OrigRecLoss': 0.01128, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 0.12, 'val_kl_Loss_FC': 0.00018, 'val_kl_Loss_TC': 0.00049, 'val_kl_Loss_DTC': 0.00115}
31 saved {'val_OrigRecLoss': 0.01127, 'val_FeatRecLoss': 0.00313, 'val_kl_Loss_Z': 0.11465, 'val_kl_Loss_FC': 0.00017, 'val_kl_Loss_TC': 0.00066, 'val_kl_Loss_DTC': 0.00111}
32 saved {'val_OrigRecLoss': 0.01124, 'val_FeatRecLoss': 0.00311, 'val_kl_Loss_Z': 0.11311, 'val_kl_Loss_FC': 0.00017, 'val_kl_Loss_TC': 0.00546, 'val_kl_Loss_DTC': 0.00155}
33 saved {'val_OrigRecLoss': 0.01112, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 0.11033, 'val_kl_Loss_FC': 6e-05, 'val_kl_Loss_TC': 0.00243, 'val_kl_Loss_DTC': 0.00081}
34 saved {'val_OrigRecLoss': 0.0109, 'val_FeatRecLoss': 0.00312, 'val_kl_Loss_Z': 0.11824, 'val_kl_Loss_FC': 9e-05, 'val_kl_Loss_TC': 0.00253, 'val_kl_Loss_DTC': 0.00068}
35 saved {'val_OrigRecLoss': 0.01067, 'val_FeatRecLoss': 0.00311, 'val_kl_Loss_Z': 0.11125, 'val_kl_Loss_FC': 9e-05, 'val_kl_Loss_TC': 0.00293, 'val_kl_Loss_DTC': 0.00209}
36 saved {'val_OrigRecLoss': 0.01028, 'val_FeatRecLoss': 0.00311, 'val_kl_Loss_Z': 0.10268, 'val_kl_Loss_FC': 0.00013, 'val_kl_Loss_TC': 0.00501, 'val_kl_Loss_DTC': 0.00115}
37 saved {'val_OrigRecLoss': 0.00959, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 0.1043, 'val_kl_Loss_FC': 9e-05, 'val_kl_Loss_TC': 0.00213, 'val_kl_Loss_DTC': 0.00195}
38 saved {'val_OrigRecLoss': 0.00901, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 0.11691, 'val_kl_Loss_FC': 0.0001, 'val_kl_Loss_TC': 0.00361, 'val_kl_Loss_DTC': 0.00355}
39 saved {'val_OrigRecLoss': 0.00743, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 0.09736, 'val_kl_Loss_FC': 0.00025, 'val_kl_Loss_TC': 0.00423, 'val_kl_Loss_DTC': 0.00099}
40 saved {'val_OrigRecLoss': 0.00654, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 0.10114, 'val_kl_Loss_FC': 5e-05, 'val_kl_Loss_TC': 0.0022, 'val_kl_Loss_DTC': 0.00448}
41 saved {'val_OrigRecLoss': 0.00567, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 0.10138, 'val_kl_Loss_FC': 8e-05, 'val_kl_Loss_TC': 0.00152, 'val_kl_Loss_DTC': 0.00102}
42 saved {'val_OrigRecLoss': 0.0053, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 0.09967, 'val_kl_Loss_FC': 0.0001, 'val_kl_Loss_TC': 0.00448, 'val_kl_Loss_DTC': 0.00106}
