1 saved {'val_OrigRecLoss': 0.01173, 'val_FeatRecLoss': 0.00156, 'val_kl_Loss_Z': 1.08461, 'val_kl_Loss_FC': 0.0089, 'val_kl_Loss_TC': 0.00381, 'val_kl_Loss_DTC': 0.06819}
2 saved {'val_OrigRecLoss': 0.01155, 'val_FeatRecLoss': 0.00171, 'val_kl_Loss_Z': 0.48199, 'val_kl_Loss_FC': 0.00016, 'val_kl_Loss_TC': 0.00336, 'val_kl_Loss_DTC': 0.02702}
3 saved {'val_OrigRecLoss': 0.01149, 'val_FeatRecLoss': 0.00098, 'val_kl_Loss_Z': 1.29444, 'val_kl_Loss_FC': 0.05347, 'val_kl_Loss_TC': 0.00408, 'val_kl_Loss_DTC': 0.01913}
4 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00168, 'val_kl_Loss_Z': 0.55108, 'val_kl_Loss_FC': 0.00111, 'val_kl_Loss_TC': 0.00133, 'val_kl_Loss_DTC': 0.01317}
5 not saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00148, 'val_kl_Loss_Z': 0.46578, 'val_kl_Loss_FC': 0.00955, 'val_kl_Loss_TC': 0.00084, 'val_kl_Loss_DTC': 0.00246}
6 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00148, 'val_kl_Loss_Z': 0.43399, 'val_kl_Loss_FC': 0.00784, 'val_kl_Loss_TC': 0.00405, 'val_kl_Loss_DTC': 0.00159}
7 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00164, 'val_kl_Loss_Z': 0.34254, 'val_kl_Loss_FC': 0.0005, 'val_kl_Loss_TC': 0.00117, 'val_kl_Loss_DTC': 0.01003}
8 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 0.0009, 'val_kl_Loss_Z': 0.64581, 'val_kl_Loss_FC': 0.05181, 'val_kl_Loss_TC': 0.0036, 'val_kl_Loss_DTC': 0.0047}
9 saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00162, 'val_kl_Loss_Z': 0.40346, 'val_kl_Loss_FC': 0.00194, 'val_kl_Loss_TC': 0.00441, 'val_kl_Loss_DTC': 0.00346}
10 saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.00157, 'val_kl_Loss_Z': 0.35652, 'val_kl_Loss_FC': 0.00258, 'val_kl_Loss_TC': 0.00135, 'val_kl_Loss_DTC': 0.00388}
11 saved {'val_OrigRecLoss': 0.01137, 'val_FeatRecLoss': 0.00158, 'val_kl_Loss_Z': 0.33733, 'val_kl_Loss_FC': 0.00169, 'val_kl_Loss_TC': 0.00019, 'val_kl_Loss_DTC': 0.00305}
12 saved {'val_OrigRecLoss': 0.01136, 'val_FeatRecLoss': 0.00102, 'val_kl_Loss_Z': 0.63798, 'val_kl_Loss_FC': 0.03618, 'val_kl_Loss_TC': 0.00017, 'val_kl_Loss_DTC': 0.00085}
13 saved {'val_OrigRecLoss': 0.01134, 'val_FeatRecLoss': 0.00101, 'val_kl_Loss_Z': 0.56403, 'val_kl_Loss_FC': 0.03603, 'val_kl_Loss_TC': 0.00242, 'val_kl_Loss_DTC': 0.00116}
14 saved {'val_OrigRecLoss': 0.01132, 'val_FeatRecLoss': 0.00162, 'val_kl_Loss_Z': 0.30893, 'val_kl_Loss_FC': 0.00102, 'val_kl_Loss_TC': 0.0004, 'val_kl_Loss_DTC': 0.0067}
15 saved {'val_OrigRecLoss': 0.0113, 'val_FeatRecLoss': 0.00106, 'val_kl_Loss_Z': 0.51986, 'val_kl_Loss_FC': 0.03221, 'val_kl_Loss_TC': 0.00262, 'val_kl_Loss_DTC': 0.00145}
16 saved {'val_OrigRecLoss': 0.01129, 'val_FeatRecLoss': 0.00163, 'val_kl_Loss_Z': 0.29205, 'val_kl_Loss_FC': 0.0014, 'val_kl_Loss_TC': 0.00253, 'val_kl_Loss_DTC': 0.00623}
17 saved {'val_OrigRecLoss': 0.01124, 'val_FeatRecLoss': 0.0015, 'val_kl_Loss_Z': 0.29578, 'val_kl_Loss_FC': 0.00514, 'val_kl_Loss_TC': 0.00031, 'val_kl_Loss_DTC': 0.00208}
18 saved {'val_OrigRecLoss': 0.01123, 'val_FeatRecLoss': 0.00106, 'val_kl_Loss_Z': 0.47065, 'val_kl_Loss_FC': 0.03102, 'val_kl_Loss_TC': 0.00056, 'val_kl_Loss_DTC': 0.00229}
19 saved {'val_OrigRecLoss': 0.01117, 'val_FeatRecLoss': 0.00133, 'val_kl_Loss_Z': 0.34557, 'val_kl_Loss_FC': 0.0114, 'val_kl_Loss_TC': 0.00029, 'val_kl_Loss_DTC': 0.00119}
20 saved {'val_OrigRecLoss': 0.01108, 'val_FeatRecLoss': 0.00101, 'val_kl_Loss_Z': 0.43786, 'val_kl_Loss_FC': 0.03631, 'val_kl_Loss_TC': 0.00016, 'val_kl_Loss_DTC': 0.00146}
21 saved {'val_OrigRecLoss': 0.01083, 'val_FeatRecLoss': 0.00106, 'val_kl_Loss_Z': 0.4267, 'val_kl_Loss_FC': 0.032, 'val_kl_Loss_TC': 0.00183, 'val_kl_Loss_DTC': 0.00155}
