1 saved {'val_OrigRecLoss': 0.01176, 'val_FeatRecLoss': 0.00168, 'val_kl_Loss_Z': 0.60889, 'val_kl_Loss_FC': 0.00926}
2 saved {'val_OrigRecLoss': 0.01154, 'val_FeatRecLoss': 0.00157, 'val_kl_Loss_Z': 0.4912, 'val_kl_Loss_FC': 0.00887}
3 saved {'val_OrigRecLoss': 0.01149, 'val_FeatRecLoss': 0.00152, 'val_kl_Loss_Z': 0.37566, 'val_kl_Loss_FC': 0.00857}
4 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00151, 'val_kl_Loss_Z': 0.34974, 'val_kl_Loss_FC': 0.00834}
5 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00149, 'val_kl_Loss_Z': 0.3277, 'val_kl_Loss_FC': 0.00906}
6 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.0015, 'val_kl_Loss_Z': 0.30599, 'val_kl_Loss_FC': 0.00841}
7 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.0015, 'val_kl_Loss_Z': 0.29166, 'val_kl_Loss_FC': 0.00834}
8 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00148, 'val_kl_Loss_Z': 0.28622, 'val_kl_Loss_FC': 0.00878}
9 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 0.00149, 'val_kl_Loss_Z': 0.26592, 'val_kl_Loss_FC': 0.00783}
10 saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.00146, 'val_kl_Loss_Z': 0.33563, 'val_kl_Loss_FC': 0.00683}
11 not saved {'val_OrigRecLoss': 0.01149, 'val_FeatRecLoss': 0.0014, 'val_kl_Loss_Z': 0.29067, 'val_kl_Loss_FC': 0.00856}
12 saved {'val_OrigRecLoss': 0.01137, 'val_FeatRecLoss': 0.00143, 'val_kl_Loss_Z': 0.26533, 'val_kl_Loss_FC': 0.00812}
13 saved {'val_OrigRecLoss': 0.01133, 'val_FeatRecLoss': 0.00135, 'val_kl_Loss_Z': 0.24982, 'val_kl_Loss_FC': 0.01314}
14 saved {'val_OrigRecLoss': 0.01131, 'val_FeatRecLoss': 0.00135, 'val_kl_Loss_Z': 0.23021, 'val_kl_Loss_FC': 0.01206}
15 saved {'val_OrigRecLoss': 0.01129, 'val_FeatRecLoss': 0.00145, 'val_kl_Loss_Z': 0.23859, 'val_kl_Loss_FC': 0.00777}
16 saved {'val_OrigRecLoss': 0.01126, 'val_FeatRecLoss': 0.0014, 'val_kl_Loss_Z': 0.219, 'val_kl_Loss_FC': 0.00894}
17 saved {'val_OrigRecLoss': 0.01116, 'val_FeatRecLoss': 0.00144, 'val_kl_Loss_Z': 0.21982, 'val_kl_Loss_FC': 0.00781}
18 saved {'val_OrigRecLoss': 0.01097, 'val_FeatRecLoss': 0.00153, 'val_kl_Loss_Z': 0.19892, 'val_kl_Loss_FC': 0.00503}
19 saved {'val_OrigRecLoss': 0.0107, 'val_FeatRecLoss': 0.00164, 'val_kl_Loss_Z': 0.20225, 'val_kl_Loss_FC': 0.00459}
20 saved {'val_OrigRecLoss': 0.00969, 'val_FeatRecLoss': 0.0018, 'val_kl_Loss_Z': 0.20442, 'val_kl_Loss_FC': 0.00533}
21 saved {'val_OrigRecLoss': 0.00769, 'val_FeatRecLoss': 0.00184, 'val_kl_Loss_Z': 0.27963, 'val_kl_Loss_FC': 0.05764}
22 saved {'val_OrigRecLoss': 0.00549, 'val_FeatRecLoss': 0.00169, 'val_kl_Loss_Z': 0.22873, 'val_kl_Loss_FC': 0.09124}
23 saved {'val_OrigRecLoss': 0.00485, 'val_FeatRecLoss': 0.00173, 'val_kl_Loss_Z': 0.23925, 'val_kl_Loss_FC': 0.05974}
24 saved {'val_OrigRecLoss': 0.00468, 'val_FeatRecLoss': 0.00181, 'val_kl_Loss_Z': 0.22364, 'val_kl_Loss_FC': 0.02808}
25 saved {'val_OrigRecLoss': 0.00399, 'val_FeatRecLoss': 0.00162, 'val_kl_Loss_Z': 0.22597, 'val_kl_Loss_FC': 0.05916}
26 not saved {'val_OrigRecLoss': 0.00402, 'val_FeatRecLoss': 0.00166, 'val_kl_Loss_Z': 0.22513, 'val_kl_Loss_FC': 0.05084}
27 saved {'val_OrigRecLoss': 0.00391, 'val_FeatRecLoss': 0.00169, 'val_kl_Loss_Z': 0.21739, 'val_kl_Loss_FC': 0.0392}
28 saved {'val_OrigRecLoss': 0.00362, 'val_FeatRecLoss': 0.00164, 'val_kl_Loss_Z': 0.20822, 'val_kl_Loss_FC': 0.04322}
29 saved {'val_OrigRecLoss': 0.00349, 'val_FeatRecLoss': 0.00162, 'val_kl_Loss_Z': 0.21808, 'val_kl_Loss_FC': 0.0456}
30 saved {'val_OrigRecLoss': 0.00333, 'val_FeatRecLoss': 0.00155, 'val_kl_Loss_Z': 0.20739, 'val_kl_Loss_FC': 0.05056}
31 saved {'val_OrigRecLoss': 0.00329, 'val_FeatRecLoss': 0.00164, 'val_kl_Loss_Z': 0.20447, 'val_kl_Loss_FC': 0.03729}
32 not saved {'val_OrigRecLoss': 0.0033, 'val_FeatRecLoss': 0.00163, 'val_kl_Loss_Z': 0.19855, 'val_kl_Loss_FC': 0.03367}
33 saved {'val_OrigRecLoss': 0.00313, 'val_FeatRecLoss': 0.00155, 'val_kl_Loss_Z': 0.19942, 'val_kl_Loss_FC': 0.04152}
34 saved {'val_OrigRecLoss': 0.0031, 'val_FeatRecLoss': 0.0016, 'val_kl_Loss_Z': 0.21847, 'val_kl_Loss_FC': 0.03366}
35 saved {'val_OrigRecLoss': 0.00302, 'val_FeatRecLoss': 0.00162, 'val_kl_Loss_Z': 0.20438, 'val_kl_Loss_FC': 0.03308}
36 saved {'val_OrigRecLoss': 0.00302, 'val_FeatRecLoss': 0.00159, 'val_kl_Loss_Z': 0.20684, 'val_kl_Loss_FC': 0.02491}
37 saved {'val_OrigRecLoss': 0.00287, 'val_FeatRecLoss': 0.00158, 'val_kl_Loss_Z': 0.19052, 'val_kl_Loss_FC': 0.02877}
38 saved {'val_OrigRecLoss': 0.00286, 'val_FeatRecLoss': 0.00159, 'val_kl_Loss_Z': 0.18611, 'val_kl_Loss_FC': 0.02427}
39 saved {'val_OrigRecLoss': 0.00282, 'val_FeatRecLoss': 0.0016, 'val_kl_Loss_Z': 0.18732, 'val_kl_Loss_FC': 0.01846}
40 saved {'val_OrigRecLoss': 0.00276, 'val_FeatRecLoss': 0.00156, 'val_kl_Loss_Z': 0.18216, 'val_kl_Loss_FC': 0.02101}
41 saved {'val_OrigRecLoss': 0.00266, 'val_FeatRecLoss': 0.00161, 'val_kl_Loss_Z': 0.173, 'val_kl_Loss_FC': 0.01532}
42 saved {'val_OrigRecLoss': 0.00261, 'val_FeatRecLoss': 0.00157, 'val_kl_Loss_Z': 0.17117, 'val_kl_Loss_FC': 0.01546}
43 saved {'val_OrigRecLoss': 0.00257, 'val_FeatRecLoss': 0.00157, 'val_kl_Loss_Z': 0.17185, 'val_kl_Loss_FC': 0.01309}
44 saved {'val_OrigRecLoss': 0.00255, 'val_FeatRecLoss': 0.00158, 'val_kl_Loss_Z': 0.17095, 'val_kl_Loss_FC': 0.01235}
45 saved {'val_OrigRecLoss': 0.00254, 'val_FeatRecLoss': 0.00159, 'val_kl_Loss_Z': 0.1761, 'val_kl_Loss_FC': 0.00802}
46 saved {'val_OrigRecLoss': 0.00243, 'val_FeatRecLoss': 0.00155, 'val_kl_Loss_Z': 0.17505, 'val_kl_Loss_FC': 0.01172}
47 saved {'val_OrigRecLoss': 0.00238, 'val_FeatRecLoss': 0.00153, 'val_kl_Loss_Z': 0.17466, 'val_kl_Loss_FC': 0.01264}
48 not saved {'val_OrigRecLoss': 0.00249, 'val_FeatRecLoss': 0.00156, 'val_kl_Loss_Z': 0.166, 'val_kl_Loss_FC': 0.00755}
49 saved {'val_OrigRecLoss': 0.00232, 'val_FeatRecLoss': 0.00156, 'val_kl_Loss_Z': 0.15728, 'val_kl_Loss_FC': 0.00868}
50 not saved {'val_OrigRecLoss': 0.00233, 'val_FeatRecLoss': 0.00149, 'val_kl_Loss_Z': 0.18585, 'val_kl_Loss_FC': 0.01106}
51 saved {'val_OrigRecLoss': 0.00227, 'val_FeatRecLoss': 0.00153, 'val_kl_Loss_Z': 0.15517, 'val_kl_Loss_FC': 0.01057}
52 saved {'val_OrigRecLoss': 0.00224, 'val_FeatRecLoss': 0.0015, 'val_kl_Loss_Z': 0.16975, 'val_kl_Loss_FC': 0.01067}
53 saved {'val_OrigRecLoss': 0.00222, 'val_FeatRecLoss': 0.00147, 'val_kl_Loss_Z': 0.15705, 'val_kl_Loss_FC': 0.01184}
54 saved {'val_OrigRecLoss': 0.00218, 'val_FeatRecLoss': 0.00145, 'val_kl_Loss_Z': 0.1619, 'val_kl_Loss_FC': 0.01295}
55 saved {'val_OrigRecLoss': 0.00218, 'val_FeatRecLoss': 0.00146, 'val_kl_Loss_Z': 0.1612, 'val_kl_Loss_FC': 0.01126}
56 saved {'val_OrigRecLoss': 0.00216, 'val_FeatRecLoss': 0.00148, 'val_kl_Loss_Z': 0.13843, 'val_kl_Loss_FC': 0.00866}
57 not saved {'val_OrigRecLoss': 0.00218, 'val_FeatRecLoss': 0.00153, 'val_kl_Loss_Z': 0.14619, 'val_kl_Loss_FC': 0.00798}
58 not saved {'val_OrigRecLoss': 0.00219, 'val_FeatRecLoss': 0.00153, 'val_kl_Loss_Z': 0.27186, 'val_kl_Loss_FC': 0.00653}
59 saved {'val_OrigRecLoss': 0.00206, 'val_FeatRecLoss': 0.00146, 'val_kl_Loss_Z': 0.17083, 'val_kl_Loss_FC': 0.01087}
60 not saved {'val_OrigRecLoss': 0.00212, 'val_FeatRecLoss': 0.00146, 'val_kl_Loss_Z': 0.16384, 'val_kl_Loss_FC': 0.00877}
