1 saved {'val_OrigRecLoss': 0.01181, 'val_FeatRecLoss': 0.00171, 'val_kl_Loss_Z': 1.31089, 'val_kl_Loss_FC': 0.00364}
2 saved {'val_OrigRecLoss': 0.01156, 'val_FeatRecLoss': 0.00158, 'val_kl_Loss_Z': 0.81687, 'val_kl_Loss_FC': 0.00634}
3 saved {'val_OrigRecLoss': 0.01149, 'val_FeatRecLoss': 0.00151, 'val_kl_Loss_Z': 0.64625, 'val_kl_Loss_FC': 0.00808}
4 saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00146, 'val_kl_Loss_Z': 0.56214, 'val_kl_Loss_FC': 0.00943}
5 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00147, 'val_kl_Loss_Z': 0.47718, 'val_kl_Loss_FC': 0.00925}
6 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00138, 'val_kl_Loss_Z': 0.53128, 'val_kl_Loss_FC': 0.0122}
7 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00136, 'val_kl_Loss_Z': 0.50171, 'val_kl_Loss_FC': 0.01154}
8 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00132, 'val_kl_Loss_Z': 0.51603, 'val_kl_Loss_FC': 0.01402}
9 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00133, 'val_kl_Loss_Z': 0.46438, 'val_kl_Loss_FC': 0.0124}
10 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 0.00132, 'val_kl_Loss_Z': 0.45021, 'val_kl_Loss_FC': 0.01303}
11 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 0.00133, 'val_kl_Loss_Z': 0.43893, 'val_kl_Loss_FC': 0.01332}
12 saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00132, 'val_kl_Loss_Z': 0.41894, 'val_kl_Loss_FC': 0.01323}
13 saved {'val_OrigRecLoss': 0.01138, 'val_FeatRecLoss': 0.00131, 'val_kl_Loss_Z': 0.40158, 'val_kl_Loss_FC': 0.01373}
14 saved {'val_OrigRecLoss': 0.01137, 'val_FeatRecLoss': 0.00139, 'val_kl_Loss_Z': 0.38543, 'val_kl_Loss_FC': 0.00923}
15 saved {'val_OrigRecLoss': 0.01134, 'val_FeatRecLoss': 0.00133, 'val_kl_Loss_Z': 0.36168, 'val_kl_Loss_FC': 0.01256}
16 not saved {'val_OrigRecLoss': 0.01138, 'val_FeatRecLoss': 0.0013, 'val_kl_Loss_Z': 0.35043, 'val_kl_Loss_FC': 0.01403}
17 saved {'val_OrigRecLoss': 0.01127, 'val_FeatRecLoss': 0.00138, 'val_kl_Loss_Z': 0.32765, 'val_kl_Loss_FC': 0.00988}
18 saved {'val_OrigRecLoss': 0.0112, 'val_FeatRecLoss': 0.00129, 'val_kl_Loss_Z': 0.31682, 'val_kl_Loss_FC': 0.016}
19 saved {'val_OrigRecLoss': 0.01102, 'val_FeatRecLoss': 0.00144, 'val_kl_Loss_Z': 0.29726, 'val_kl_Loss_FC': 0.00819}
20 saved {'val_OrigRecLoss': 0.0105, 'val_FeatRecLoss': 0.00162, 'val_kl_Loss_Z': 0.30515, 'val_kl_Loss_FC': 0.00972}
21 saved {'val_OrigRecLoss': 0.00854, 'val_FeatRecLoss': 0.00213, 'val_kl_Loss_Z': 0.42305, 'val_kl_Loss_FC': 0.03194}
22 saved {'val_OrigRecLoss': 0.00594, 'val_FeatRecLoss': 0.00161, 'val_kl_Loss_Z': 0.68343, 'val_kl_Loss_FC': 0.09162}
23 saved {'val_OrigRecLoss': 0.00477, 'val_FeatRecLoss': 0.00162, 'val_kl_Loss_Z': 0.42039, 'val_kl_Loss_FC': 0.09063}
24 saved {'val_OrigRecLoss': 0.00436, 'val_FeatRecLoss': 0.0016, 'val_kl_Loss_Z': 0.37212, 'val_kl_Loss_FC': 0.0758}
25 saved {'val_OrigRecLoss': 0.00401, 'val_FeatRecLoss': 0.0015, 'val_kl_Loss_Z': 0.36443, 'val_kl_Loss_FC': 0.0831}
26 saved {'val_OrigRecLoss': 0.00378, 'val_FeatRecLoss': 0.00147, 'val_kl_Loss_Z': 0.33025, 'val_kl_Loss_FC': 0.07906}
27 saved {'val_OrigRecLoss': 0.00351, 'val_FeatRecLoss': 0.0014, 'val_kl_Loss_Z': 0.34346, 'val_kl_Loss_FC': 0.08991}
28 saved {'val_OrigRecLoss': 0.00348, 'val_FeatRecLoss': 0.00153, 'val_kl_Loss_Z': 0.34002, 'val_kl_Loss_FC': 0.06981}
29 saved {'val_OrigRecLoss': 0.00347, 'val_FeatRecLoss': 0.00154, 'val_kl_Loss_Z': 0.32147, 'val_kl_Loss_FC': 0.05996}
30 saved {'val_OrigRecLoss': 0.00326, 'val_FeatRecLoss': 0.00157, 'val_kl_Loss_Z': 0.34599, 'val_kl_Loss_FC': 0.06655}
31 not saved {'val_OrigRecLoss': 0.00333, 'val_FeatRecLoss': 0.00153, 'val_kl_Loss_Z': 0.33043, 'val_kl_Loss_FC': 0.05636}
32 saved {'val_OrigRecLoss': 0.00312, 'val_FeatRecLoss': 0.00143, 'val_kl_Loss_Z': 0.31896, 'val_kl_Loss_FC': 0.06777}
33 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00148, 'val_kl_Loss_Z': 0.33045, 'val_kl_Loss_FC': 0.05476}
34 saved {'val_OrigRecLoss': 0.00293, 'val_FeatRecLoss': 0.0015, 'val_kl_Loss_Z': 0.33573, 'val_kl_Loss_FC': 0.06781}
35 not saved {'val_OrigRecLoss': 0.00298, 'val_FeatRecLoss': 0.00134, 'val_kl_Loss_Z': 0.31549, 'val_kl_Loss_FC': 0.06298}
36 saved {'val_OrigRecLoss': 0.00281, 'val_FeatRecLoss': 0.00142, 'val_kl_Loss_Z': 0.32198, 'val_kl_Loss_FC': 0.06468}
37 saved {'val_OrigRecLoss': 0.0028, 'val_FeatRecLoss': 0.00154, 'val_kl_Loss_Z': 0.31217, 'val_kl_Loss_FC': 0.05298}
38 not saved {'val_OrigRecLoss': 0.00283, 'val_FeatRecLoss': 0.00133, 'val_kl_Loss_Z': 0.32916, 'val_kl_Loss_FC': 0.05572}
39 saved {'val_OrigRecLoss': 0.00272, 'val_FeatRecLoss': 0.00142, 'val_kl_Loss_Z': 0.31368, 'val_kl_Loss_FC': 0.06671}
40 saved {'val_OrigRecLoss': 0.00264, 'val_FeatRecLoss': 0.00139, 'val_kl_Loss_Z': 0.31097, 'val_kl_Loss_FC': 0.06162}
41 not saved {'val_OrigRecLoss': 0.00271, 'val_FeatRecLoss': 0.00152, 'val_kl_Loss_Z': 0.28624, 'val_kl_Loss_FC': 0.03946}
42 saved {'val_OrigRecLoss': 0.00263, 'val_FeatRecLoss': 0.00146, 'val_kl_Loss_Z': 0.28186, 'val_kl_Loss_FC': 0.044}
