1 saved {'val_OrigRecLoss': 0.01179, 'val_FeatRecLoss': 0.00228, 'val_kl_Loss_Z': 1.02248, 'val_kl_Loss_FC': 0.0014, 'val_kl_Loss_TC': 0.00777, 'val_kl_Loss_DTC': 0.14384}
2 saved {'val_OrigRecLoss': 0.01155, 'val_FeatRecLoss': 0.00158, 'val_kl_Loss_Z': 0.59371, 'val_kl_Loss_FC': 0.02378, 'val_kl_Loss_TC': 0.00162, 'val_kl_Loss_DTC': 0.04331}
3 saved {'val_OrigRecLoss': 0.0115, 'val_FeatRecLoss': 0.00201, 'val_kl_Loss_Z': 0.38628, 'val_kl_Loss_FC': 0.00344, 'val_kl_Loss_TC': 0.00049, 'val_kl_Loss_DTC': 0.02118}
4 saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00105, 'val_kl_Loss_Z': 0.83696, 'val_kl_Loss_FC': 0.05918, 'val_kl_Loss_TC': 0.00088, 'val_kl_Loss_DTC': 0.01318}
5 not saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00181, 'val_kl_Loss_Z': 0.51657, 'val_kl_Loss_FC': 0.00789, 'val_kl_Loss_TC': 0.00255, 'val_kl_Loss_DTC': 0.01013}
6 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00185, 'val_kl_Loss_Z': 0.40694, 'val_kl_Loss_FC': 0.0057, 'val_kl_Loss_TC': 0.00278, 'val_kl_Loss_DTC': 0.00626}
7 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00183, 'val_kl_Loss_Z': 0.35673, 'val_kl_Loss_FC': 0.00564, 'val_kl_Loss_TC': 0.00329, 'val_kl_Loss_DTC': 0.00511}
8 not saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00183, 'val_kl_Loss_Z': 0.32577, 'val_kl_Loss_FC': 0.00644, 'val_kl_Loss_TC': 0.0006, 'val_kl_Loss_DTC': 0.00553}
9 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00101, 'val_kl_Loss_Z': 0.655, 'val_kl_Loss_FC': 0.05254, 'val_kl_Loss_TC': 0.00233, 'val_kl_Loss_DTC': 0.00122}
10 not saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00191, 'val_kl_Loss_Z': 0.37332, 'val_kl_Loss_FC': 0.0049, 'val_kl_Loss_TC': 0.00191, 'val_kl_Loss_DTC': 0.00415}
11 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00186, 'val_kl_Loss_Z': 0.32294, 'val_kl_Loss_FC': 0.00548, 'val_kl_Loss_TC': 0.00248, 'val_kl_Loss_DTC': 0.0033}
12 not saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00187, 'val_kl_Loss_Z': 0.28829, 'val_kl_Loss_FC': 0.00506, 'val_kl_Loss_TC': 0.00264, 'val_kl_Loss_DTC': 0.00488}
13 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00185, 'val_kl_Loss_Z': 0.28551, 'val_kl_Loss_FC': 0.00573, 'val_kl_Loss_TC': 0.00305, 'val_kl_Loss_DTC': 0.00244}
14 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00181, 'val_kl_Loss_Z': 0.26578, 'val_kl_Loss_FC': 0.00617, 'val_kl_Loss_TC': 0.00049, 'val_kl_Loss_DTC': 0.00385}
15 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00088, 'val_kl_Loss_Z': 0.61944, 'val_kl_Loss_FC': 0.06353, 'val_kl_Loss_TC': 0.00191, 'val_kl_Loss_DTC': 0.00142}
16 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.0019, 'val_kl_Loss_Z': 0.32827, 'val_kl_Loss_FC': 0.00413, 'val_kl_Loss_TC': 0.00239, 'val_kl_Loss_DTC': 0.00478}
17 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00186, 'val_kl_Loss_Z': 0.29696, 'val_kl_Loss_FC': 0.00491, 'val_kl_Loss_TC': 0.00031, 'val_kl_Loss_DTC': 0.00127}
18 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00101, 'val_kl_Loss_Z': 0.54676, 'val_kl_Loss_FC': 0.05112, 'val_kl_Loss_TC': 0.00138, 'val_kl_Loss_DTC': 0.00182}
19 saved {'val_OrigRecLoss': 0.01142, 'val_FeatRecLoss': 0.00192, 'val_kl_Loss_Z': 0.32509, 'val_kl_Loss_FC': 0.00351, 'val_kl_Loss_TC': 0.00136, 'val_kl_Loss_DTC': 0.00356}
20 saved {'val_OrigRecLoss': 0.01142, 'val_FeatRecLoss': 0.00169, 'val_kl_Loss_Z': 0.32705, 'val_kl_Loss_FC': 0.01025, 'val_kl_Loss_TC': 0.00147, 'val_kl_Loss_DTC': 0.00228}
21 saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00173, 'val_kl_Loss_Z': 0.28474, 'val_kl_Loss_FC': 0.00895, 'val_kl_Loss_TC': 0.0012, 'val_kl_Loss_DTC': 0.00234}
