26 saved {'val_OrigRecLoss': 0.01142, 'val_FeatRecLoss': 0.00122, 'val_kl_Loss_Z': 0.38098, 'val_kl_Loss_FC': 0.03447, 'val_kl_Loss_TC': 0.00012, 'val_kl_Loss_DTC': 0.00165}
27 saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00085, 'val_kl_Loss_Z': 0.49612, 'val_kl_Loss_FC': 0.06627, 'val_kl_Loss_TC': 0.00045, 'val_kl_Loss_DTC': 0.00355}
28 saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00142, 'val_kl_Loss_Z': 0.35948, 'val_kl_Loss_FC': 0.0225, 'val_kl_Loss_TC': 8e-05, 'val_kl_Loss_DTC': 0.00161}
29 saved {'val_OrigRecLoss': 0.01139, 'val_FeatRecLoss': 0.00078, 'val_kl_Loss_Z': 0.45266, 'val_kl_Loss_FC': 0.07321, 'val_kl_Loss_TC': 0.00051, 'val_kl_Loss_DTC': 0.00146}
30 saved {'val_OrigRecLoss': 0.01136, 'val_FeatRecLoss': 0.0015, 'val_kl_Loss_Z': 0.32053, 'val_kl_Loss_FC': 0.01722, 'val_kl_Loss_TC': 0.0009, 'val_kl_Loss_DTC': 0.00174}
31 saved {'val_OrigRecLoss': 0.01135, 'val_FeatRecLoss': 0.00147, 'val_kl_Loss_Z': 0.3134, 'val_kl_Loss_FC': 0.01923, 'val_kl_Loss_TC': 0.00035, 'val_kl_Loss_DTC': 0.0015}
32 not saved {'val_OrigRecLoss': 0.01136, 'val_FeatRecLoss': 0.00094, 'val_kl_Loss_Z': 0.42677, 'val_kl_Loss_FC': 0.05723, 'val_kl_Loss_TC': 0.00057, 'val_kl_Loss_DTC': 0.00094}
33 saved {'val_OrigRecLoss': 0.01133, 'val_FeatRecLoss': 0.00153, 'val_kl_Loss_Z': 0.30822, 'val_kl_Loss_FC': 0.01592, 'val_kl_Loss_TC': 0.00038, 'val_kl_Loss_DTC': 0.00207}
34 saved {'val_OrigRecLoss': 0.01133, 'val_FeatRecLoss': 0.00087, 'val_kl_Loss_Z': 0.40815, 'val_kl_Loss_FC': 0.06282, 'val_kl_Loss_TC': 0.00036, 'val_kl_Loss_DTC': 0.00145}
35 saved {'val_OrigRecLoss': 0.01132, 'val_FeatRecLoss': 0.00118, 'val_kl_Loss_Z': 0.3446, 'val_kl_Loss_FC': 0.03553, 'val_kl_Loss_TC': 0.00026, 'val_kl_Loss_DTC': 0.00105}
36 saved {'val_OrigRecLoss': 0.01131, 'val_FeatRecLoss': 0.00099, 'val_kl_Loss_Z': 0.38823, 'val_kl_Loss_FC': 0.05169, 'val_kl_Loss_TC': 0.00167, 'val_kl_Loss_DTC': 0.00119}
37 saved {'val_OrigRecLoss': 0.0113, 'val_FeatRecLoss': 0.00186, 'val_kl_Loss_Z': 0.24109, 'val_kl_Loss_FC': 0.00452, 'val_kl_Loss_TC': 0.001, 'val_kl_Loss_DTC': 0.00791}
38 saved {'val_OrigRecLoss': 0.01127, 'val_FeatRecLoss': 0.00149, 'val_kl_Loss_Z': 0.30698, 'val_kl_Loss_FC': 0.01923, 'val_kl_Loss_TC': 0.00039, 'val_kl_Loss_DTC': 0.00156}
39 saved {'val_OrigRecLoss': 0.01126, 'val_FeatRecLoss': 0.00095, 'val_kl_Loss_Z': 0.40885, 'val_kl_Loss_FC': 0.05488, 'val_kl_Loss_TC': 0.00094, 'val_kl_Loss_DTC': 0.00131}
40 saved {'val_OrigRecLoss': 0.01119, 'val_FeatRecLoss': 0.00187, 'val_kl_Loss_Z': 0.24298, 'val_kl_Loss_FC': 0.00441, 'val_kl_Loss_TC': 0.00028, 'val_kl_Loss_DTC': 0.0036}
41 saved {'val_OrigRecLoss': 0.01119, 'val_FeatRecLoss': 0.00089, 'val_kl_Loss_Z': 0.3833, 'val_kl_Loss_FC': 0.06072, 'val_kl_Loss_TC': 0.00209, 'val_kl_Loss_DTC': 0.00147}
