27 saved {'val_OrigRecLoss': 0.00413, 'val_FeatRecLoss': 0.00185, 'val_kl_Loss_Z': 1.6724, 'val_kl_Loss_FC': 0.00961, 'val_kl_Loss_TC': 129.93228, 'val_kl_Loss_MI': 5.94966}
28 saved {'val_OrigRecLoss': 0.00392, 'val_FeatRecLoss': 0.00189, 'val_kl_Loss_Z': 14.51561, 'val_kl_Loss_FC': 0.01004, 'val_kl_Loss_TC': 129.89944, 'val_kl_Loss_MI': 5.95124}
29 saved {'val_OrigRecLoss': 0.00388, 'val_FeatRecLoss': 0.00187, 'val_kl_Loss_Z': 8.16884, 'val_kl_Loss_FC': 0.00674, 'val_kl_Loss_TC': 129.9001, 'val_kl_Loss_MI': 5.943}
30 saved {'val_OrigRecLoss': 0.00379, 'val_FeatRecLoss': 0.0018, 'val_kl_Loss_Z': 13.88865, 'val_kl_Loss_FC': 0.00618, 'val_kl_Loss_TC': 129.90502, 'val_kl_Loss_MI': 5.95416}
31 saved {'val_OrigRecLoss': 0.00359, 'val_FeatRecLoss': 0.00177, 'val_kl_Loss_Z': 6.9916, 'val_kl_Loss_FC': 0.00393, 'val_kl_Loss_TC': 129.97416, 'val_kl_Loss_MI': 5.96165}
32 not saved {'val_OrigRecLoss': 0.00363, 'val_FeatRecLoss': 0.00171, 'val_kl_Loss_Z': 5.73993, 'val_kl_Loss_FC': 0.00418, 'val_kl_Loss_TC': 129.85748, 'val_kl_Loss_MI': 5.94599}
33 saved {'val_OrigRecLoss': 0.00346, 'val_FeatRecLoss': 0.00169, 'val_kl_Loss_Z': 13.93286, 'val_kl_Loss_FC': 0.00408, 'val_kl_Loss_TC': 129.8514, 'val_kl_Loss_MI': 5.9551}
34 not saved {'val_OrigRecLoss': 0.00366, 'val_FeatRecLoss': 0.00165, 'val_kl_Loss_Z': 2.83708, 'val_kl_Loss_FC': 0.00372, 'val_kl_Loss_TC': 129.81117, 'val_kl_Loss_MI': 5.9672}
35 saved {'val_OrigRecLoss': 0.00332, 'val_FeatRecLoss': 0.00171, 'val_kl_Loss_Z': 7.0658, 'val_kl_Loss_FC': 0.00303, 'val_kl_Loss_TC': 129.96838, 'val_kl_Loss_MI': 6.03878}
36 not saved {'val_OrigRecLoss': 0.00339, 'val_FeatRecLoss': 0.00161, 'val_kl_Loss_Z': 2.70713, 'val_kl_Loss_FC': 0.00306, 'val_kl_Loss_TC': 129.8263, 'val_kl_Loss_MI': 6.0844}
37 saved {'val_OrigRecLoss': 0.0033, 'val_FeatRecLoss': 0.00156, 'val_kl_Loss_Z': 5.66638, 'val_kl_Loss_FC': 0.00469, 'val_kl_Loss_TC': 129.69149, 'val_kl_Loss_MI': 6.08297}
38 saved {'val_OrigRecLoss': 0.00308, 'val_FeatRecLoss': 0.00161, 'val_kl_Loss_Z': 6.9024, 'val_kl_Loss_FC': 0.00289, 'val_kl_Loss_TC': 129.56109, 'val_kl_Loss_MI': 6.05026}
39 saved {'val_OrigRecLoss': 0.003, 'val_FeatRecLoss': 0.00161, 'val_kl_Loss_Z': 1.53419, 'val_kl_Loss_FC': 0.0038, 'val_kl_Loss_TC': 129.9024, 'val_kl_Loss_MI': 6.12222}
40 saved {'val_OrigRecLoss': 0.00299, 'val_FeatRecLoss': 0.0016, 'val_kl_Loss_Z': 3.7031, 'val_kl_Loss_FC': 0.00507, 'val_kl_Loss_TC': 130.09505, 'val_kl_Loss_MI': 6.15274}
41 saved {'val_OrigRecLoss': 0.00295, 'val_FeatRecLoss': 0.00153, 'val_kl_Loss_Z': 3.24566, 'val_kl_Loss_FC': 0.00422, 'val_kl_Loss_TC': 129.87406, 'val_kl_Loss_MI': 6.14833}
42 saved {'val_OrigRecLoss': 0.00294, 'val_FeatRecLoss': 0.00172, 'val_kl_Loss_Z': 3.47665, 'val_kl_Loss_FC': 0.00243, 'val_kl_Loss_TC': 130.25577, 'val_kl_Loss_MI': 6.17395}
43 saved {'val_OrigRecLoss': 0.00291, 'val_FeatRecLoss': 0.00145, 'val_kl_Loss_Z': 10.06301, 'val_kl_Loss_FC': 0.00881, 'val_kl_Loss_TC': 129.51688, 'val_kl_Loss_MI': 6.10999}
44 saved {'val_OrigRecLoss': 0.00284, 'val_FeatRecLoss': 0.00153, 'val_kl_Loss_Z': 1.56538, 'val_kl_Loss_FC': 0.0069, 'val_kl_Loss_TC': 129.60296, 'val_kl_Loss_MI': 6.12448}
45 saved {'val_OrigRecLoss': 0.00278, 'val_FeatRecLoss': 0.00158, 'val_kl_Loss_Z': 5.26728, 'val_kl_Loss_FC': 0.00366, 'val_kl_Loss_TC': 129.40521, 'val_kl_Loss_MI': 6.10082}
46 not saved {'val_OrigRecLoss': 0.00278, 'val_FeatRecLoss': 0.00148, 'val_kl_Loss_Z': 8.46298, 'val_kl_Loss_FC': 0.007, 'val_kl_Loss_TC': 129.61001, 'val_kl_Loss_MI': 6.16983}
47 saved {'val_OrigRecLoss': 0.0027, 'val_FeatRecLoss': 0.00147, 'val_kl_Loss_Z': 2.88321, 'val_kl_Loss_FC': 0.00662, 'val_kl_Loss_TC': 129.57642, 'val_kl_Loss_MI': 6.15699}
48 saved {'val_OrigRecLoss': 0.00265, 'val_FeatRecLoss': 0.00145, 'val_kl_Loss_Z': 8.85562, 'val_kl_Loss_FC': 0.00815, 'val_kl_Loss_TC': 129.39005, 'val_kl_Loss_MI': 6.13887}
49 saved {'val_OrigRecLoss': 0.00256, 'val_FeatRecLoss': 0.00149, 'val_kl_Loss_Z': 8.76959, 'val_kl_Loss_FC': 0.00667, 'val_kl_Loss_TC': 129.4302, 'val_kl_Loss_MI': 6.14082}
