26 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.40292, 'val_kl_Loss_FC': 0.0007, 'val_kl_Loss_TC': 0.00311, 'val_kl_Loss_DTC': 0.09999}
27 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.40006, 'val_kl_Loss_FC': 0.00022, 'val_kl_Loss_TC': 0.00503, 'val_kl_Loss_DTC': 0.09999}
28 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.39169, 'val_kl_Loss_FC': 0.00069, 'val_kl_Loss_TC': 0.00363, 'val_kl_Loss_DTC': 0.1}
29 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.39026, 'val_kl_Loss_FC': 0.00101, 'val_kl_Loss_TC': 0.00798, 'val_kl_Loss_DTC': 0.09999}
30 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.35599, 'val_kl_Loss_FC': 0.00054, 'val_kl_Loss_TC': 0.00611, 'val_kl_Loss_DTC': 0.09999}
31 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.35838, 'val_kl_Loss_FC': 0.00132, 'val_kl_Loss_TC': 0.00272, 'val_kl_Loss_DTC': 0.1}
32 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.30357, 'val_kl_Loss_FC': 0.00096, 'val_kl_Loss_TC': 0.00419, 'val_kl_Loss_DTC': 0.1}
33 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.35466, 'val_kl_Loss_FC': 0.00066, 'val_kl_Loss_TC': 0.0089, 'val_kl_Loss_DTC': 0.09999}
34 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.321, 'val_kl_Loss_FC': 0.00032, 'val_kl_Loss_TC': 0.01332, 'val_kl_Loss_DTC': 0.09999}
35 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.27984, 'val_kl_Loss_FC': 0.00096, 'val_kl_Loss_TC': 0.00287, 'val_kl_Loss_DTC': 0.09999}
36 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.23993, 'val_kl_Loss_FC': 0.0006, 'val_kl_Loss_TC': 0.01102, 'val_kl_Loss_DTC': 0.09997}
37 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 1.21068, 'val_kl_Loss_FC': 0.00131, 'val_kl_Loss_TC': 0.01069, 'val_kl_Loss_DTC': 0.09999}
38 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.26014, 'val_kl_Loss_FC': 0.00042, 'val_kl_Loss_TC': 0.00791, 'val_kl_Loss_DTC': 0.09998}
39 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.19693, 'val_kl_Loss_FC': 0.00075, 'val_kl_Loss_TC': 0.00231, 'val_kl_Loss_DTC': 0.09998}
40 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.20424, 'val_kl_Loss_FC': 0.00085, 'val_kl_Loss_TC': 0.00129, 'val_kl_Loss_DTC': 0.09998}
41 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.21368, 'val_kl_Loss_FC': 0.00075, 'val_kl_Loss_TC': 0.00712, 'val_kl_Loss_DTC': 0.09997}
42 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.24247, 'val_kl_Loss_FC': 0.00138, 'val_kl_Loss_TC': 0.00121, 'val_kl_Loss_DTC': 0.09997}
43 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.16702, 'val_kl_Loss_FC': 0.00078, 'val_kl_Loss_TC': 0.00368, 'val_kl_Loss_DTC': 0.09995}
44 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.17002, 'val_kl_Loss_FC': 0.00062, 'val_kl_Loss_TC': 0.00299, 'val_kl_Loss_DTC': 0.09993}
45 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.17913, 'val_kl_Loss_FC': 0.00119, 'val_kl_Loss_TC': 0.00411, 'val_kl_Loss_DTC': 0.09995}
46 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.20109, 'val_kl_Loss_FC': 0.001, 'val_kl_Loss_TC': 0.0079, 'val_kl_Loss_DTC': 0.09993}
47 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.17885, 'val_kl_Loss_FC': 0.00128, 'val_kl_Loss_TC': 0.0088, 'val_kl_Loss_DTC': 0.09994}
48 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.16825, 'val_kl_Loss_FC': 0.00079, 'val_kl_Loss_TC': 0.0018, 'val_kl_Loss_DTC': 0.0999}
49 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.18049, 'val_kl_Loss_FC': 0.00076, 'val_kl_Loss_TC': 0.00408, 'val_kl_Loss_DTC': 0.09993}
50 not saved {'val_OrigRecLoss': 0.00071, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.20011, 'val_kl_Loss_FC': 0.00183, 'val_kl_Loss_TC': 0.01053, 'val_kl_Loss_DTC': 0.09993}
51 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.11929, 'val_kl_Loss_FC': 0.001, 'val_kl_Loss_TC': 0.00811, 'val_kl_Loss_DTC': 0.0999}
52 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.16378, 'val_kl_Loss_FC': 0.00164, 'val_kl_Loss_TC': 0.01344, 'val_kl_Loss_DTC': 0.09987}
53 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.14784, 'val_kl_Loss_FC': 0.00135, 'val_kl_Loss_TC': 0.0085, 'val_kl_Loss_DTC': 0.09987}
54 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.16882, 'val_kl_Loss_FC': 0.00179, 'val_kl_Loss_TC': 0.00827, 'val_kl_Loss_DTC': 0.09981}
55 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.12399, 'val_kl_Loss_FC': 0.00134, 'val_kl_Loss_TC': 0.00843, 'val_kl_Loss_DTC': 0.0999}
56 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.13406, 'val_kl_Loss_FC': 0.00191, 'val_kl_Loss_TC': 0.00626, 'val_kl_Loss_DTC': 0.09986}
57 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.11823, 'val_kl_Loss_FC': 0.00201, 'val_kl_Loss_TC': 0.01291, 'val_kl_Loss_DTC': 0.09981}
58 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.09939, 'val_kl_Loss_FC': 0.00202, 'val_kl_Loss_TC': 0.01235, 'val_kl_Loss_DTC': 0.09984}
59 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.10586, 'val_kl_Loss_FC': 0.00239, 'val_kl_Loss_TC': 0.01938, 'val_kl_Loss_DTC': 0.09982}
60 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.08295, 'val_kl_Loss_FC': 0.00166, 'val_kl_Loss_TC': 0.00836, 'val_kl_Loss_DTC': 0.09977}
61 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.11371, 'val_kl_Loss_FC': 0.00172, 'val_kl_Loss_TC': 0.00184, 'val_kl_Loss_DTC': 0.09965}
62 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.08499, 'val_kl_Loss_FC': 0.00235, 'val_kl_Loss_TC': 0.0135, 'val_kl_Loss_DTC': 0.09966}
63 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.03975, 'val_kl_Loss_FC': 0.00174, 'val_kl_Loss_TC': 0.00243, 'val_kl_Loss_DTC': 0.09954}
64 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.10798, 'val_kl_Loss_FC': 0.00222, 'val_kl_Loss_TC': 0.0119, 'val_kl_Loss_DTC': 0.09942}
65 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.0998, 'val_kl_Loss_FC': 0.00155, 'val_kl_Loss_TC': 0.00867, 'val_kl_Loss_DTC': 0.09927}
66 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.04755, 'val_kl_Loss_FC': 0.00141, 'val_kl_Loss_TC': 0.0028, 'val_kl_Loss_DTC': 0.09919}
67 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.10244, 'val_kl_Loss_FC': 0.0028, 'val_kl_Loss_TC': 0.00119, 'val_kl_Loss_DTC': 0.09904}
68 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.01231, 'val_kl_Loss_FC': 0.00171, 'val_kl_Loss_TC': 0.00769, 'val_kl_Loss_DTC': 0.09839}
69 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.97851, 'val_kl_Loss_FC': 0.00138, 'val_kl_Loss_TC': 0.00091, 'val_kl_Loss_DTC': 0.09772}
70 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.03942, 'val_kl_Loss_FC': 0.00172, 'val_kl_Loss_TC': 0.01419, 'val_kl_Loss_DTC': 0.09678}
71 not saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.98972, 'val_kl_Loss_FC': 0.00184, 'val_kl_Loss_TC': 0.007, 'val_kl_Loss_DTC': 0.09458}
72 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.99547, 'val_kl_Loss_FC': 0.00173, 'val_kl_Loss_TC': 0.0065, 'val_kl_Loss_DTC': 0.08843}
73 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.03141, 'val_kl_Loss_FC': 0.00149, 'val_kl_Loss_TC': 0.00323, 'val_kl_Loss_DTC': 0.06817}
74 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.0022, 'val_kl_Loss_FC': 0.0018, 'val_kl_Loss_TC': 0.00505, 'val_kl_Loss_DTC': 0.00355}
75 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.98501, 'val_kl_Loss_FC': 0.00185, 'val_kl_Loss_TC': 0.00326, 'val_kl_Loss_DTC': 0.0056}
