26 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.79459, 'val_kl_Loss_FC': 0.00218, 'val_kl_Loss_TC': 0.00682, 'val_kl_Loss_DTC': 0.09995}
27 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.78811, 'val_kl_Loss_FC': 0.00316, 'val_kl_Loss_TC': 0.00274, 'val_kl_Loss_DTC': 0.09997}
28 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.72124, 'val_kl_Loss_FC': 0.00182, 'val_kl_Loss_TC': 0.00828, 'val_kl_Loss_DTC': 0.09992}
29 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.6767, 'val_kl_Loss_FC': 0.0024, 'val_kl_Loss_TC': 0.00316, 'val_kl_Loss_DTC': 0.09997}
30 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.70591, 'val_kl_Loss_FC': 0.00262, 'val_kl_Loss_TC': 0.00676, 'val_kl_Loss_DTC': 0.09996}
31 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.63475, 'val_kl_Loss_FC': 0.0018, 'val_kl_Loss_TC': 0.00781, 'val_kl_Loss_DTC': 0.09993}
32 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.60459, 'val_kl_Loss_FC': 0.00231, 'val_kl_Loss_TC': 0.00774, 'val_kl_Loss_DTC': 0.09992}
33 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.60193, 'val_kl_Loss_FC': 0.00274, 'val_kl_Loss_TC': 0.00724, 'val_kl_Loss_DTC': 0.09995}
34 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.56917, 'val_kl_Loss_FC': 0.00205, 'val_kl_Loss_TC': 0.00551, 'val_kl_Loss_DTC': 0.09989}
35 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.57258, 'val_kl_Loss_FC': 0.0028, 'val_kl_Loss_TC': 0.00529, 'val_kl_Loss_DTC': 0.09993}
36 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.56042, 'val_kl_Loss_FC': 0.00253, 'val_kl_Loss_TC': 0.00472, 'val_kl_Loss_DTC': 0.0999}
37 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.55631, 'val_kl_Loss_FC': 0.00207, 'val_kl_Loss_TC': 0.00827, 'val_kl_Loss_DTC': 0.09992}
38 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.50886, 'val_kl_Loss_FC': 0.00188, 'val_kl_Loss_TC': 0.0079, 'val_kl_Loss_DTC': 0.09986}
39 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.51079, 'val_kl_Loss_FC': 0.00296, 'val_kl_Loss_TC': 0.00908, 'val_kl_Loss_DTC': 0.09994}
40 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.52799, 'val_kl_Loss_FC': 0.00352, 'val_kl_Loss_TC': 0.00855, 'val_kl_Loss_DTC': 0.09993}
41 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.529, 'val_kl_Loss_FC': 0.00277, 'val_kl_Loss_TC': 0.00433, 'val_kl_Loss_DTC': 0.09989}
42 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.48882, 'val_kl_Loss_FC': 0.00224, 'val_kl_Loss_TC': 0.00516, 'val_kl_Loss_DTC': 0.09988}
43 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.51185, 'val_kl_Loss_FC': 0.00349, 'val_kl_Loss_TC': 0.00453, 'val_kl_Loss_DTC': 0.09992}
44 not saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.41067, 'val_kl_Loss_FC': 0.00135, 'val_kl_Loss_TC': 0.00974, 'val_kl_Loss_DTC': 0.0998}
45 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.41226, 'val_kl_Loss_FC': 0.00136, 'val_kl_Loss_TC': 0.00929, 'val_kl_Loss_DTC': 0.0998}
46 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.44823, 'val_kl_Loss_FC': 0.00316, 'val_kl_Loss_TC': 0.0076, 'val_kl_Loss_DTC': 0.09988}
47 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.43414, 'val_kl_Loss_FC': 0.0012, 'val_kl_Loss_TC': 0.00334, 'val_kl_Loss_DTC': 0.09981}
48 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.40144, 'val_kl_Loss_FC': 0.00239, 'val_kl_Loss_TC': 0.00137, 'val_kl_Loss_DTC': 0.09985}
49 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.44023, 'val_kl_Loss_FC': 0.00132, 'val_kl_Loss_TC': 0.00583, 'val_kl_Loss_DTC': 0.09979}
50 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.4249, 'val_kl_Loss_FC': 0.00282, 'val_kl_Loss_TC': 0.00648, 'val_kl_Loss_DTC': 0.09982}
51 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.35882, 'val_kl_Loss_FC': 0.00228, 'val_kl_Loss_TC': 0.00422, 'val_kl_Loss_DTC': 0.09977}
52 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.30392, 'val_kl_Loss_FC': 0.00164, 'val_kl_Loss_TC': 0.00449, 'val_kl_Loss_DTC': 0.09978}
53 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.32113, 'val_kl_Loss_FC': 0.00259, 'val_kl_Loss_TC': 0.00173, 'val_kl_Loss_DTC': 0.0998}
54 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.3457, 'val_kl_Loss_FC': 0.00163, 'val_kl_Loss_TC': 0.00709, 'val_kl_Loss_DTC': 0.09975}
55 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.34366, 'val_kl_Loss_FC': 0.00166, 'val_kl_Loss_TC': 0.00643, 'val_kl_Loss_DTC': 0.09973}
56 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.29603, 'val_kl_Loss_FC': 0.00226, 'val_kl_Loss_TC': 0.00604, 'val_kl_Loss_DTC': 0.09965}
57 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.35067, 'val_kl_Loss_FC': 0.00244, 'val_kl_Loss_TC': 0.00307, 'val_kl_Loss_DTC': 0.09975}
58 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.37226, 'val_kl_Loss_FC': 0.0017, 'val_kl_Loss_TC': 0.00621, 'val_kl_Loss_DTC': 0.0998}
59 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.33157, 'val_kl_Loss_FC': 0.00244, 'val_kl_Loss_TC': 0.00648, 'val_kl_Loss_DTC': 0.0998}
60 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.35422, 'val_kl_Loss_FC': 0.00284, 'val_kl_Loss_TC': 0.00504, 'val_kl_Loss_DTC': 0.09983}
61 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.29499, 'val_kl_Loss_FC': 0.00192, 'val_kl_Loss_TC': 0.00868, 'val_kl_Loss_DTC': 0.09978}
62 not saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.29342, 'val_kl_Loss_FC': 0.00229, 'val_kl_Loss_TC': 0.009, 'val_kl_Loss_DTC': 0.09972}
63 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.29631, 'val_kl_Loss_FC': 0.00187, 'val_kl_Loss_TC': 0.0015, 'val_kl_Loss_DTC': 0.09972}
64 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.23848, 'val_kl_Loss_FC': 0.0014, 'val_kl_Loss_TC': 0.00445, 'val_kl_Loss_DTC': 0.09944}
65 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.18731, 'val_kl_Loss_FC': 0.00215, 'val_kl_Loss_TC': 0.00681, 'val_kl_Loss_DTC': 0.09953}
66 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.22786, 'val_kl_Loss_FC': 0.00208, 'val_kl_Loss_TC': 0.0036, 'val_kl_Loss_DTC': 0.09963}
67 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.22794, 'val_kl_Loss_FC': 0.00207, 'val_kl_Loss_TC': 0.00514, 'val_kl_Loss_DTC': 0.09952}
68 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.28761, 'val_kl_Loss_FC': 0.00246, 'val_kl_Loss_TC': 0.00509, 'val_kl_Loss_DTC': 0.09965}
69 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.23456, 'val_kl_Loss_FC': 0.00215, 'val_kl_Loss_TC': 0.0074, 'val_kl_Loss_DTC': 0.09969}
70 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.5282, 'val_kl_Loss_FC': 0.0018, 'val_kl_Loss_TC': 0.00318, 'val_kl_Loss_DTC': 0.0998}
71 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.52625, 'val_kl_Loss_FC': 0.00217, 'val_kl_Loss_TC': 0.00309, 'val_kl_Loss_DTC': 0.09982}
72 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.36555, 'val_kl_Loss_FC': 0.00179, 'val_kl_Loss_TC': 0.00552, 'val_kl_Loss_DTC': 0.09976}
73 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.37839, 'val_kl_Loss_FC': 0.00218, 'val_kl_Loss_TC': 0.00195, 'val_kl_Loss_DTC': 0.09979}
74 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.33956, 'val_kl_Loss_FC': 0.00216, 'val_kl_Loss_TC': 0.00591, 'val_kl_Loss_DTC': 0.09971}
75 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.2562, 'val_kl_Loss_FC': 0.00155, 'val_kl_Loss_TC': 0.00134, 'val_kl_Loss_DTC': 0.09967}
76 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.28942, 'val_kl_Loss_FC': 0.0023, 'val_kl_Loss_TC': 0.0011, 'val_kl_Loss_DTC': 0.09976}
77 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.33442, 'val_kl_Loss_FC': 0.00236, 'val_kl_Loss_TC': 0.00687, 'val_kl_Loss_DTC': 0.09966}
78 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.21937, 'val_kl_Loss_FC': 0.00205, 'val_kl_Loss_TC': 0.00328, 'val_kl_Loss_DTC': 0.09964}
79 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.24757, 'val_kl_Loss_FC': 0.00265, 'val_kl_Loss_TC': 0.00111, 'val_kl_Loss_DTC': 0.09966}
80 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.18626, 'val_kl_Loss_FC': 0.00195, 'val_kl_Loss_TC': 0.00505, 'val_kl_Loss_DTC': 0.09944}
81 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.15185, 'val_kl_Loss_FC': 0.00175, 'val_kl_Loss_TC': 0.0015, 'val_kl_Loss_DTC': 0.09951}
82 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.13472, 'val_kl_Loss_FC': 0.00189, 'val_kl_Loss_TC': 0.00607, 'val_kl_Loss_DTC': 0.09942}
83 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.12861, 'val_kl_Loss_FC': 0.00248, 'val_kl_Loss_TC': 0.00371, 'val_kl_Loss_DTC': 0.09939}
84 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.19294, 'val_kl_Loss_FC': 0.0026, 'val_kl_Loss_TC': 0.00142, 'val_kl_Loss_DTC': 0.0995}
85 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.19117, 'val_kl_Loss_FC': 0.00282, 'val_kl_Loss_TC': 0.00106, 'val_kl_Loss_DTC': 0.09951}
86 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.17281, 'val_kl_Loss_FC': 0.00256, 'val_kl_Loss_TC': 0.00227, 'val_kl_Loss_DTC': 0.09937}
87 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.1917, 'val_kl_Loss_FC': 0.00211, 'val_kl_Loss_TC': 0.00193, 'val_kl_Loss_DTC': 0.09916}
88 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.16473, 'val_kl_Loss_FC': 0.00208, 'val_kl_Loss_TC': 0.00263, 'val_kl_Loss_DTC': 0.09919}
89 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.15878, 'val_kl_Loss_FC': 0.00245, 'val_kl_Loss_TC': 0.00447, 'val_kl_Loss_DTC': 0.0992}
90 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.15655, 'val_kl_Loss_FC': 0.00203, 'val_kl_Loss_TC': 0.00282, 'val_kl_Loss_DTC': 0.099}
91 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.16709, 'val_kl_Loss_FC': 0.00271, 'val_kl_Loss_TC': 0.00295, 'val_kl_Loss_DTC': 0.09906}
92 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.11075, 'val_kl_Loss_FC': 0.00226, 'val_kl_Loss_TC': 0.00411, 'val_kl_Loss_DTC': 0.09884}
93 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.16754, 'val_kl_Loss_FC': 0.0025, 'val_kl_Loss_TC': 0.00224, 'val_kl_Loss_DTC': 0.09875}
94 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.13477, 'val_kl_Loss_FC': 0.00235, 'val_kl_Loss_TC': 0.00262, 'val_kl_Loss_DTC': 0.09836}
95 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.09656, 'val_kl_Loss_FC': 0.00204, 'val_kl_Loss_TC': 0.00207, 'val_kl_Loss_DTC': 0.09775}
96 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.1011, 'val_kl_Loss_FC': 0.00276, 'val_kl_Loss_TC': 0.00407, 'val_kl_Loss_DTC': 0.09777}
97 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.09485, 'val_kl_Loss_FC': 0.00187, 'val_kl_Loss_TC': 0.00618, 'val_kl_Loss_DTC': 0.09642}
98 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.00156, 'val_kl_Loss_FC': 0.00187, 'val_kl_Loss_TC': 0.00337, 'val_kl_Loss_DTC': 0.09414}
99 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.02107, 'val_kl_Loss_FC': 0.00242, 'val_kl_Loss_TC': 0.00204, 'val_kl_Loss_DTC': 0.09168}
100 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.13375, 'val_kl_Loss_FC': 0.00277, 'val_kl_Loss_TC': 0.00678, 'val_kl_Loss_DTC': 0.08825}
101 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.07332, 'val_kl_Loss_FC': 0.00178, 'val_kl_Loss_TC': 0.00238, 'val_kl_Loss_DTC': 0.06351}
102 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.04593, 'val_kl_Loss_FC': 0.0022, 'val_kl_Loss_TC': 0.00229, 'val_kl_Loss_DTC': 0.02127}
103 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.14956, 'val_kl_Loss_FC': 0.00241, 'val_kl_Loss_TC': 0.00242, 'val_kl_Loss_DTC': 0.00499}
