26 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.0243, 'val_kl_Loss_FC': 0.00248, 'val_kl_Loss_TC': 0.00519, 'val_kl_Loss_DTC': 0.09726}
27 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.07182, 'val_kl_Loss_FC': 0.00205, 'val_kl_Loss_TC': 0.002, 'val_kl_Loss_DTC': 0.09736}
28 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.97954, 'val_kl_Loss_FC': 0.00226, 'val_kl_Loss_TC': 0.00462, 'val_kl_Loss_DTC': 0.09724}
29 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.03865, 'val_kl_Loss_FC': 0.00254, 'val_kl_Loss_TC': 0.00638, 'val_kl_Loss_DTC': 0.09717}
30 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.97691, 'val_kl_Loss_FC': 0.00217, 'val_kl_Loss_TC': 0.00181, 'val_kl_Loss_DTC': 0.09667}
31 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.89533, 'val_kl_Loss_FC': 0.00213, 'val_kl_Loss_TC': 0.00436, 'val_kl_Loss_DTC': 0.09633}
32 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.94751, 'val_kl_Loss_FC': 0.00317, 'val_kl_Loss_TC': 0.00736, 'val_kl_Loss_DTC': 0.09704}
33 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.84476, 'val_kl_Loss_FC': 0.0021, 'val_kl_Loss_TC': 0.0042, 'val_kl_Loss_DTC': 0.09617}
34 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.77717, 'val_kl_Loss_FC': 0.0023, 'val_kl_Loss_TC': 0.00101, 'val_kl_Loss_DTC': 0.09597}
35 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.82463, 'val_kl_Loss_FC': 0.0021, 'val_kl_Loss_TC': 0.0026, 'val_kl_Loss_DTC': 0.09604}
36 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.74818, 'val_kl_Loss_FC': 0.00209, 'val_kl_Loss_TC': 0.00075, 'val_kl_Loss_DTC': 0.09596}
37 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.74088, 'val_kl_Loss_FC': 0.00259, 'val_kl_Loss_TC': 0.00218, 'val_kl_Loss_DTC': 0.09561}
38 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.66422, 'val_kl_Loss_FC': 0.0024, 'val_kl_Loss_TC': 0.00295, 'val_kl_Loss_DTC': 0.09639}
39 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.69429, 'val_kl_Loss_FC': 0.00224, 'val_kl_Loss_TC': 0.00078, 'val_kl_Loss_DTC': 0.09562}
40 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.66265, 'val_kl_Loss_FC': 0.00211, 'val_kl_Loss_TC': 0.0011, 'val_kl_Loss_DTC': 0.09495}
41 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.66247, 'val_kl_Loss_FC': 0.00245, 'val_kl_Loss_TC': 0.00106, 'val_kl_Loss_DTC': 0.09532}
42 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.63099, 'val_kl_Loss_FC': 0.00247, 'val_kl_Loss_TC': 0.00238, 'val_kl_Loss_DTC': 0.09496}
43 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.64844, 'val_kl_Loss_FC': 0.0022, 'val_kl_Loss_TC': 0.00184, 'val_kl_Loss_DTC': 0.09545}
44 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.68246, 'val_kl_Loss_FC': 0.00164, 'val_kl_Loss_TC': 0.00093, 'val_kl_Loss_DTC': 0.09552}
45 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.55766, 'val_kl_Loss_FC': 0.0024, 'val_kl_Loss_TC': 0.00115, 'val_kl_Loss_DTC': 0.0943}
46 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.53885, 'val_kl_Loss_FC': 0.00255, 'val_kl_Loss_TC': 0.00507, 'val_kl_Loss_DTC': 0.09453}
47 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.52476, 'val_kl_Loss_FC': 0.00178, 'val_kl_Loss_TC': 0.00418, 'val_kl_Loss_DTC': 0.09482}
48 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.42565, 'val_kl_Loss_FC': 0.00201, 'val_kl_Loss_TC': 0.0008, 'val_kl_Loss_DTC': 0.09316}
