26 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.98583, 'val_kl_Loss_FC': 0.00097, 'val_kl_Loss_TC': 220.23474, 'val_kl_Loss_MI': 5.87306}
27 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.33626, 'val_kl_Loss_FC': 0.00045, 'val_kl_Loss_TC': 220.14846, 'val_kl_Loss_MI': 5.87171}
28 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 7.4926, 'val_kl_Loss_FC': 0.00061, 'val_kl_Loss_TC': 220.09542, 'val_kl_Loss_MI': 5.87742}
29 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 3.00437, 'val_kl_Loss_FC': 0.00169, 'val_kl_Loss_TC': 220.01523, 'val_kl_Loss_MI': 5.87777}
30 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.16427, 'val_kl_Loss_FC': 0.00057, 'val_kl_Loss_TC': 220.11593, 'val_kl_Loss_MI': 5.88609}
31 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 6.4526, 'val_kl_Loss_FC': 0.00094, 'val_kl_Loss_TC': 219.95686, 'val_kl_Loss_MI': 5.88067}
32 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 5.29833, 'val_kl_Loss_FC': 0.00149, 'val_kl_Loss_TC': 219.8096, 'val_kl_Loss_MI': 5.88122}
33 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 6.98193, 'val_kl_Loss_FC': 0.00262, 'val_kl_Loss_TC': 219.79563, 'val_kl_Loss_MI': 5.88486}
34 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.06923, 'val_kl_Loss_FC': 0.00056, 'val_kl_Loss_TC': 220.28734, 'val_kl_Loss_MI': 5.93475}
35 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 3.26382, 'val_kl_Loss_FC': 0.00241, 'val_kl_Loss_TC': 220.30399, 'val_kl_Loss_MI': 5.92967}
36 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 3.22168, 'val_kl_Loss_FC': 0.0016, 'val_kl_Loss_TC': 220.46564, 'val_kl_Loss_MI': 5.93799}
37 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 7.81953, 'val_kl_Loss_FC': 0.00255, 'val_kl_Loss_TC': 220.64662, 'val_kl_Loss_MI': 5.94294}
38 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 8.0994, 'val_kl_Loss_FC': 0.00187, 'val_kl_Loss_TC': 220.7398, 'val_kl_Loss_MI': 5.94399}
39 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 9.80254, 'val_kl_Loss_FC': 0.00139, 'val_kl_Loss_TC': 221.1982, 'val_kl_Loss_MI': 5.9652}
40 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.98408, 'val_kl_Loss_FC': 0.00176, 'val_kl_Loss_TC': 221.00302, 'val_kl_Loss_MI': 5.93537}
41 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 4.6025, 'val_kl_Loss_FC': 0.00189, 'val_kl_Loss_TC': 221.39345, 'val_kl_Loss_MI': 5.9459}
42 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 14.16048, 'val_kl_Loss_FC': 0.00265, 'val_kl_Loss_TC': 221.25845, 'val_kl_Loss_MI': 5.94838}
43 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 8.24324, 'val_kl_Loss_FC': 0.00181, 'val_kl_Loss_TC': 220.82658, 'val_kl_Loss_MI': 5.9198}
44 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 13.06268, 'val_kl_Loss_FC': 0.00215, 'val_kl_Loss_TC': 221.35296, 'val_kl_Loss_MI': 5.96941}
45 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 10.58406, 'val_kl_Loss_FC': 0.00248, 'val_kl_Loss_TC': 221.41042, 'val_kl_Loss_MI': 5.94993}
46 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 6.65691, 'val_kl_Loss_FC': 0.00219, 'val_kl_Loss_TC': 221.45322, 'val_kl_Loss_MI': 5.96778}
