39 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.00361, 'val_kl_Loss_FC': 0.00207}
40 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.03037, 'val_kl_Loss_FC': 0.002}
41 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.97768, 'val_kl_Loss_FC': 0.00207}
42 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.98453, 'val_kl_Loss_FC': 0.00215}
43 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.99233, 'val_kl_Loss_FC': 0.00212}
44 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.95725, 'val_kl_Loss_FC': 0.00222}
45 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.01383, 'val_kl_Loss_FC': 0.00183}
46 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.94513, 'val_kl_Loss_FC': 0.00231}
47 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.96081, 'val_kl_Loss_FC': 0.00261}
48 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.9438, 'val_kl_Loss_FC': 0.00203}
49 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.93375, 'val_kl_Loss_FC': 0.00231}
50 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.95363, 'val_kl_Loss_FC': 0.00206}
51 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.89272, 'val_kl_Loss_FC': 0.00263}
52 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.86171, 'val_kl_Loss_FC': 0.00257}
53 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.90208, 'val_kl_Loss_FC': 0.00188}
54 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.85573, 'val_kl_Loss_FC': 0.00266}
55 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.8889, 'val_kl_Loss_FC': 0.00181}
56 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.85487, 'val_kl_Loss_FC': 0.00281}
57 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.85425, 'val_kl_Loss_FC': 0.00273}
58 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.85897, 'val_kl_Loss_FC': 0.00275}
