1 saved {'val_OrigRecLoss': 0.00074, 'val_FeatRecLoss': 0.00054, 'val_kl_Loss_Z': 2.70721, 'val_kl_Loss_FC': 0.00018}
2 saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00029, 'val_kl_Loss_Z': 3.4371, 'val_kl_Loss_FC': 0.00029}
3 saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 3.77263, 'val_kl_Loss_FC': 0.00053}
4 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 3.66544, 'val_kl_Loss_FC': 0.00079}
5 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 3.34587, 'val_kl_Loss_FC': 0.00187}
6 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 3.05113, 'val_kl_Loss_FC': 0.00165}
7 not saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.76834, 'val_kl_Loss_FC': 0.00218}
8 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.56015, 'val_kl_Loss_FC': 0.00195}
9 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.41753, 'val_kl_Loss_FC': 0.0031}
10 not saved {'val_OrigRecLoss': 0.00067, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.2138, 'val_kl_Loss_FC': 0.00132}
11 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.15471, 'val_kl_Loss_FC': 0.00191}
12 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.01251, 'val_kl_Loss_FC': 0.00201}
13 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.82339, 'val_kl_Loss_FC': 0.00198}
14 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.76936, 'val_kl_Loss_FC': 0.00291}
15 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.75125, 'val_kl_Loss_FC': 0.00143}
16 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.62358, 'val_kl_Loss_FC': 0.00366}
17 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.58842, 'val_kl_Loss_FC': 0.00197}
18 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.50369, 'val_kl_Loss_FC': 0.00248}
19 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.46178, 'val_kl_Loss_FC': 0.00367}
20 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.4193, 'val_kl_Loss_FC': 0.00215}
21 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.37709, 'val_kl_Loss_FC': 0.00281}
22 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.35775, 'val_kl_Loss_FC': 0.00172}
23 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.35956, 'val_kl_Loss_FC': 0.0022}
24 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.27547, 'val_kl_Loss_FC': 0.00335}
25 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.26158, 'val_kl_Loss_FC': 0.0034}
26 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.22476, 'val_kl_Loss_FC': 0.00195}
27 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.24528, 'val_kl_Loss_FC': 0.00342}
