51 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.26238}
52 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.24683}
53 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.26314}
54 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.24188}
55 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.23595}
56 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.23778}
57 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.22245}
58 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.21663}
59 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.22105}
60 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.21827}
61 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.20987}
62 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.22041}
63 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.1918}
64 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.1902}
65 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.18337}
66 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.17884}
67 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.1785}
68 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.18467}
69 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.16995}
70 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.17728}
71 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.17646}
72 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.17492}
