27 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 5.97492, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 227.10562, 'val_kl_Loss_MI': 6.07027}
28 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 10.66758, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 227.23033, 'val_kl_Loss_MI': 6.0777}
29 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 11.38831, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 227.02339, 'val_kl_Loss_MI': 6.06779}
30 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 4.97522, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 227.30707, 'val_kl_Loss_MI': 6.08861}
31 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 12.30126, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 227.26192, 'val_kl_Loss_MI': 6.0815}
32 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 3.3754, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 227.0029, 'val_kl_Loss_MI': 6.0671}
33 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 4.10847, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 226.81279, 'val_kl_Loss_MI': 6.05599}
34 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 4.2013, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 226.70252, 'val_kl_Loss_MI': 6.04916}
35 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 3.67138, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 226.80462, 'val_kl_Loss_MI': 6.05889}
36 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 5.27558, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 226.59128, 'val_kl_Loss_MI': 6.03924}
37 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 13.81713, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 226.49265, 'val_kl_Loss_MI': 6.03854}
38 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 6.5379, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 226.49717, 'val_kl_Loss_MI': 6.03889}
39 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 5.89493, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 226.67053, 'val_kl_Loss_MI': 6.05238}
40 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 13.52999, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 226.58057, 'val_kl_Loss_MI': 6.04913}
41 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 3.22674, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 226.38662, 'val_kl_Loss_MI': 6.03759}
