1 saved {'val_OrigRecLoss': 0.01174, 'val_FeatRecLoss': 0.00324, 'val_kl_Loss_Z': 2.15851, 'val_kl_Loss_FC': 0.0004, 'val_kl_Loss_TC': 0.00536, 'val_kl_Loss_DTC': 0.01}
2 saved {'val_OrigRecLoss': 0.01155, 'val_FeatRecLoss': 0.00314, 'val_kl_Loss_Z': 2.0683, 'val_kl_Loss_FC': 0.00051, 'val_kl_Loss_TC': 0.00371, 'val_kl_Loss_DTC': 0.01}
3 saved {'val_OrigRecLoss': 0.01151, 'val_FeatRecLoss': 0.00314, 'val_kl_Loss_Z': 1.76122, 'val_kl_Loss_FC': 0.0003, 'val_kl_Loss_TC': 0.00608, 'val_kl_Loss_DTC': 0.00999}
4 saved {'val_OrigRecLoss': 0.01149, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 1.58442, 'val_kl_Loss_FC': 0.00027, 'val_kl_Loss_TC': 0.0112, 'val_kl_Loss_DTC': 0.00997}
5 saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 1.44292, 'val_kl_Loss_FC': 0.00018, 'val_kl_Loss_TC': 0.0073, 'val_kl_Loss_DTC': 0.00998}
6 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 1.36124, 'val_kl_Loss_FC': 0.00041, 'val_kl_Loss_TC': 0.00503, 'val_kl_Loss_DTC': 0.00996}
7 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00308, 'val_kl_Loss_Z': 1.282, 'val_kl_Loss_FC': 0.00034, 'val_kl_Loss_TC': 0.00653, 'val_kl_Loss_DTC': 0.00994}
8 not saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 1.21203, 'val_kl_Loss_FC': 0.00016, 'val_kl_Loss_TC': 0.00229, 'val_kl_Loss_DTC': 0.00989}
9 not saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00311, 'val_kl_Loss_Z': 1.14631, 'val_kl_Loss_FC': 7e-05, 'val_kl_Loss_TC': 0.00881, 'val_kl_Loss_DTC': 0.00985}
10 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00311, 'val_kl_Loss_Z': 1.13157, 'val_kl_Loss_FC': 6e-05, 'val_kl_Loss_TC': 0.00096, 'val_kl_Loss_DTC': 0.00977}
11 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 0.00308, 'val_kl_Loss_Z': 1.0649, 'val_kl_Loss_FC': 0.0001, 'val_kl_Loss_TC': 0.0011, 'val_kl_Loss_DTC': 0.0097}
