51 not saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 0.09898}
52 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 0.09547}
53 not saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 0.09932}
54 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.10202}
55 not saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.10262}
56 not saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.09161}
57 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.10044}
58 not saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.09751}
59 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.09659}
60 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.087}
61 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.09677}
62 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 0.09371}
63 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.08943}
64 not saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.08365}
65 not saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.093}
66 not saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.08458}
67 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.09242}
68 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.08877}
69 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.08652}
