51 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.51283}
52 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.50197}
53 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.50841}
54 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.5079}
55 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.4877}
56 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.47186}
57 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.45467}
58 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.48319}
59 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.4814}
60 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.44989}
61 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.521}
62 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.45601}
63 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.43082}
64 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.41998}
65 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.40408}
66 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.39906}
67 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.37033}
68 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.37546}
69 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 2e-05, 'val_kl_Loss_Z': 1.58163}
70 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.80876}
71 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.64635}
72 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.5727}
73 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.54225}
74 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.50834}
75 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.4789}
76 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.46592}
77 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.4455}
78 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.43488}
79 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.42571}
80 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.4141}
81 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.40424}
82 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.3959}
83 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.38064}
84 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.37916}
85 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.38026}
86 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.37043}
87 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.3607}
88 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.35689}
89 not saved {'val_OrigRecLoss': 0.00067, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.35216}
90 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.34844}
91 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.35125}
92 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.34474}
93 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.33577}
94 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.33183}
95 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.3311}
96 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.33733}
97 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.3244}
98 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.34089}
99 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.31849}
100 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.30984}
101 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.31687}
102 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.31394}
103 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.30249}
104 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.30659}
105 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.29804}
106 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.47179}
107 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.36019}
108 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.34078}
109 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.3312}
110 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.32128}
111 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.32273}
112 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.3096}
113 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.29968}
114 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.3053}
115 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.31184}
116 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.29629}
117 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.29129}
118 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.29453}
119 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.28077}
120 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.28017}
121 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.32638}
122 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.28149}
