26 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 3.86441, 'val_kl_Loss_FC': 0.00165, 'val_kl_Loss_TC': 126.44318, 'val_kl_Loss_MI': 5.73938}
27 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 4.31094, 'val_kl_Loss_FC': 0.00208, 'val_kl_Loss_TC': 126.4769, 'val_kl_Loss_MI': 5.74353}
28 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 5.47094, 'val_kl_Loss_FC': 0.00166, 'val_kl_Loss_TC': 126.53562, 'val_kl_Loss_MI': 5.75471}
29 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.43351, 'val_kl_Loss_FC': 0.00195, 'val_kl_Loss_TC': 126.61874, 'val_kl_Loss_MI': 5.76613}
30 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.69972, 'val_kl_Loss_FC': 0.00216, 'val_kl_Loss_TC': 126.67113, 'val_kl_Loss_MI': 5.77288}
31 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 4.70916, 'val_kl_Loss_FC': 0.00239, 'val_kl_Loss_TC': 126.65963, 'val_kl_Loss_MI': 5.77331}
32 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.59176, 'val_kl_Loss_FC': 0.00236, 'val_kl_Loss_TC': 126.74203, 'val_kl_Loss_MI': 5.78411}
33 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.58482, 'val_kl_Loss_FC': 0.00248, 'val_kl_Loss_TC': 126.847, 'val_kl_Loss_MI': 5.79837}
34 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 2.81641, 'val_kl_Loss_FC': 0.00202, 'val_kl_Loss_TC': 126.95893, 'val_kl_Loss_MI': 5.81186}
35 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 2.89303, 'val_kl_Loss_FC': 0.00194, 'val_kl_Loss_TC': 126.94262, 'val_kl_Loss_MI': 5.81219}
36 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 4.91142, 'val_kl_Loss_FC': 0.0019, 'val_kl_Loss_TC': 127.11204, 'val_kl_Loss_MI': 5.82889}
37 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.92693, 'val_kl_Loss_FC': 0.00179, 'val_kl_Loss_TC': 127.11173, 'val_kl_Loss_MI': 5.82517}
38 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 2.98183, 'val_kl_Loss_FC': 0.00168, 'val_kl_Loss_TC': 127.37034, 'val_kl_Loss_MI': 5.85403}
39 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 3.39561, 'val_kl_Loss_FC': 0.00206, 'val_kl_Loss_TC': 127.48657, 'val_kl_Loss_MI': 5.86722}
40 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.34438, 'val_kl_Loss_FC': 0.00228, 'val_kl_Loss_TC': 127.56486, 'val_kl_Loss_MI': 5.8721}
41 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.46722, 'val_kl_Loss_FC': 0.00215, 'val_kl_Loss_TC': 127.54447, 'val_kl_Loss_MI': 5.86625}
42 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 3.92345, 'val_kl_Loss_FC': 0.00194, 'val_kl_Loss_TC': 127.5864, 'val_kl_Loss_MI': 5.87214}
43 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 3.60704, 'val_kl_Loss_FC': 0.00197, 'val_kl_Loss_TC': 127.61469, 'val_kl_Loss_MI': 5.87375}
44 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 4.70233, 'val_kl_Loss_FC': 0.00153, 'val_kl_Loss_TC': 127.47108, 'val_kl_Loss_MI': 5.86095}
45 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.44233, 'val_kl_Loss_FC': 0.00237, 'val_kl_Loss_TC': 127.63356, 'val_kl_Loss_MI': 5.87515}
46 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 3.62603, 'val_kl_Loss_FC': 0.00207, 'val_kl_Loss_TC': 127.81925, 'val_kl_Loss_MI': 5.89481}
47 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 8.52542, 'val_kl_Loss_FC': 0.00194, 'val_kl_Loss_TC': 127.81404, 'val_kl_Loss_MI': 5.89621}
48 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.6205, 'val_kl_Loss_FC': 0.00252, 'val_kl_Loss_TC': 127.8824, 'val_kl_Loss_MI': 5.90081}
49 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.60508, 'val_kl_Loss_FC': 0.00224, 'val_kl_Loss_TC': 127.81365, 'val_kl_Loss_MI': 5.89255}
50 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 6.54413, 'val_kl_Loss_FC': 0.00225, 'val_kl_Loss_TC': 127.92417, 'val_kl_Loss_MI': 5.90821}
51 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.71274, 'val_kl_Loss_FC': 0.0024, 'val_kl_Loss_TC': 127.97563, 'val_kl_Loss_MI': 5.91364}
52 not saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.99113, 'val_kl_Loss_FC': 0.00257, 'val_kl_Loss_TC': 128.08878, 'val_kl_Loss_MI': 5.9257}
53 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 2.80177, 'val_kl_Loss_FC': 0.0022, 'val_kl_Loss_TC': 128.06038, 'val_kl_Loss_MI': 5.92329}
54 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 3.45911, 'val_kl_Loss_FC': 0.00241, 'val_kl_Loss_TC': 128.2365, 'val_kl_Loss_MI': 5.94}
55 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 2.69241, 'val_kl_Loss_FC': 0.00242, 'val_kl_Loss_TC': 128.09964, 'val_kl_Loss_MI': 5.92492}
56 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.57719, 'val_kl_Loss_FC': 0.00238, 'val_kl_Loss_TC': 128.03065, 'val_kl_Loss_MI': 5.91913}
57 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 4.94919, 'val_kl_Loss_FC': 0.00259, 'val_kl_Loss_TC': 128.2176, 'val_kl_Loss_MI': 5.92981}
58 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 3.25046, 'val_kl_Loss_FC': 0.00209, 'val_kl_Loss_TC': 127.90549, 'val_kl_Loss_MI': 5.91272}
59 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.54119, 'val_kl_Loss_FC': 0.00255, 'val_kl_Loss_TC': 128.03147, 'val_kl_Loss_MI': 5.92261}
60 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 3.35614, 'val_kl_Loss_FC': 0.00249, 'val_kl_Loss_TC': 128.00589, 'val_kl_Loss_MI': 5.92349}
61 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 3.44871, 'val_kl_Loss_FC': 0.00244, 'val_kl_Loss_TC': 128.40169, 'val_kl_Loss_MI': 5.96695}
62 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 3.71338, 'val_kl_Loss_FC': 0.00205, 'val_kl_Loss_TC': 128.35737, 'val_kl_Loss_MI': 5.9609}
63 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.4903, 'val_kl_Loss_FC': 0.00194, 'val_kl_Loss_TC': 128.50939, 'val_kl_Loss_MI': 5.97262}
64 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.08243, 'val_kl_Loss_FC': 0.00235, 'val_kl_Loss_TC': 128.51891, 'val_kl_Loss_MI': 5.97103}
65 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.63637, 'val_kl_Loss_FC': 0.00249, 'val_kl_Loss_TC': 128.35492, 'val_kl_Loss_MI': 5.95944}
66 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 2.61172, 'val_kl_Loss_FC': 0.0025, 'val_kl_Loss_TC': 128.24245, 'val_kl_Loss_MI': 5.95619}
67 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 2.28846, 'val_kl_Loss_FC': 0.00154, 'val_kl_Loss_TC': 128.00198, 'val_kl_Loss_MI': 5.93389}
68 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 3.50421, 'val_kl_Loss_FC': 0.00213, 'val_kl_Loss_TC': 128.44069, 'val_kl_Loss_MI': 5.97891}
69 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 2.02556, 'val_kl_Loss_FC': 0.00245, 'val_kl_Loss_TC': 128.34475, 'val_kl_Loss_MI': 5.96531}
70 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 3.59309, 'val_kl_Loss_FC': 0.00178, 'val_kl_Loss_TC': 128.27451, 'val_kl_Loss_MI': 5.97107}
71 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 2.79458, 'val_kl_Loss_FC': 0.00159, 'val_kl_Loss_TC': 128.4227, 'val_kl_Loss_MI': 5.98224}
