1 saved {'val_OrigRecLoss': 0.0007, 'val_FeatRecLoss': 0.00065, 'val_kl_Loss_Z': 2.01139, 'val_kl_Loss_FC': 0.00015}
2 saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00036, 'val_kl_Loss_Z': 1.68415, 'val_kl_Loss_FC': 0.00053}
3 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 2.59003, 'val_kl_Loss_FC': 8e-05}
4 not saved {'val_OrigRecLoss': 0.00053, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.67022, 'val_kl_Loss_FC': 0.00042}
5 saved {'val_OrigRecLoss': 0.00053, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.72215, 'val_kl_Loss_FC': 0.00046}
6 saved {'val_OrigRecLoss': 0.00053, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.72518, 'val_kl_Loss_FC': 0.00041}
7 not saved {'val_OrigRecLoss': 0.00053, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.78131, 'val_kl_Loss_FC': 0.00037}
8 not saved {'val_OrigRecLoss': 0.00053, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.76002, 'val_kl_Loss_FC': 0.00039}
9 not saved {'val_OrigRecLoss': 0.00053, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.74024, 'val_kl_Loss_FC': 0.00043}
10 saved {'val_OrigRecLoss': 0.00053, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.76264, 'val_kl_Loss_FC': 0.00035}
11 not saved {'val_OrigRecLoss': 0.00053, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.75501, 'val_kl_Loss_FC': 0.00049}
12 saved {'val_OrigRecLoss': 0.00053, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.78476, 'val_kl_Loss_FC': 0.00045}
13 not saved {'val_OrigRecLoss': 0.00053, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.78232, 'val_kl_Loss_FC': 0.00053}
14 not saved {'val_OrigRecLoss': 0.00053, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.76669, 'val_kl_Loss_FC': 0.00044}
15 not saved {'val_OrigRecLoss': 0.00053, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.81161, 'val_kl_Loss_FC': 0.00034}
16 not saved {'val_OrigRecLoss': 0.00053, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.80997, 'val_kl_Loss_FC': 0.00041}
17 saved {'val_OrigRecLoss': 0.00052, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.85927, 'val_kl_Loss_FC': 0.00032}
18 not saved {'val_OrigRecLoss': 0.00052, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.79842, 'val_kl_Loss_FC': 0.00029}
19 not saved {'val_OrigRecLoss': 0.00053, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.81786, 'val_kl_Loss_FC': 0.00038}
