39 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.96397, 'val_kl_Loss_FC': 0.00034}
40 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.01019, 'val_kl_Loss_FC': 0.0003}
41 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.10278, 'val_kl_Loss_FC': 0.00038}
42 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.93076, 'val_kl_Loss_FC': 0.00038}
43 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.02596, 'val_kl_Loss_FC': 0.00041}
44 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.94034, 'val_kl_Loss_FC': 0.00042}
45 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.03572, 'val_kl_Loss_FC': 0.00043}
46 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.86186, 'val_kl_Loss_FC': 0.00028}
47 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.90894, 'val_kl_Loss_FC': 0.00042}
48 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.88064, 'val_kl_Loss_FC': 0.00032}
49 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.85104, 'val_kl_Loss_FC': 0.00045}
50 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.82163, 'val_kl_Loss_FC': 0.00033}
51 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.93893, 'val_kl_Loss_FC': 0.00034}
52 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.81785, 'val_kl_Loss_FC': 0.00039}
53 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.83769, 'val_kl_Loss_FC': 0.00044}
54 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.84809, 'val_kl_Loss_FC': 0.00051}
55 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.81437, 'val_kl_Loss_FC': 0.00042}
56 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.76509, 'val_kl_Loss_FC': 0.00036}
57 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.7472, 'val_kl_Loss_FC': 0.00034}
58 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.78863, 'val_kl_Loss_FC': 0.0004}
59 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.75786, 'val_kl_Loss_FC': 0.00036}
60 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.72555, 'val_kl_Loss_FC': 0.00036}
61 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.90187, 'val_kl_Loss_FC': 0.00055}
62 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.70174, 'val_kl_Loss_FC': 0.00039}
63 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.68393, 'val_kl_Loss_FC': 0.00036}
64 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.66604, 'val_kl_Loss_FC': 0.0004}
65 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.60035, 'val_kl_Loss_FC': 0.00035}
66 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.65417, 'val_kl_Loss_FC': 0.00039}
67 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.80886, 'val_kl_Loss_FC': 0.00034}
68 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.59905, 'val_kl_Loss_FC': 0.00028}
