26 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.63461, 'val_kl_Loss_FC': 0.00011, 'val_kl_Loss_TC': 0.00112, 'val_kl_Loss_DTC': 0.00366}
27 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.63829, 'val_kl_Loss_FC': 0.00024, 'val_kl_Loss_TC': 0.00305, 'val_kl_Loss_DTC': 0.0022}
28 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.62783, 'val_kl_Loss_FC': 0.00036, 'val_kl_Loss_TC': 0.00398, 'val_kl_Loss_DTC': 0.00072}
29 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.62977, 'val_kl_Loss_FC': 0.00031, 'val_kl_Loss_TC': 0.00236, 'val_kl_Loss_DTC': 0.00138}
30 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.60608, 'val_kl_Loss_FC': 0.00011, 'val_kl_Loss_TC': 0.00271, 'val_kl_Loss_DTC': 0.00094}
31 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.60742, 'val_kl_Loss_FC': 0.00044, 'val_kl_Loss_TC': 0.00385, 'val_kl_Loss_DTC': 0.00085}
32 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.59497, 'val_kl_Loss_FC': 0.00047, 'val_kl_Loss_TC': 0.00076, 'val_kl_Loss_DTC': 0.00101}
33 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.59519, 'val_kl_Loss_FC': 0.0001, 'val_kl_Loss_TC': 0.00442, 'val_kl_Loss_DTC': 0.0013}
34 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.58304, 'val_kl_Loss_FC': 0.00041, 'val_kl_Loss_TC': 0.00293, 'val_kl_Loss_DTC': 0.00096}
35 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.54375, 'val_kl_Loss_FC': 0.00017, 'val_kl_Loss_TC': 0.00217, 'val_kl_Loss_DTC': 0.0008}
