1 saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00056, 'val_kl_Loss_Z': 0.34686}
2 saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00034, 'val_kl_Loss_Z': 0.65504}
3 saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.1449}
4 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00021, 'val_kl_Loss_Z': 0.92819}
5 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.89403}
6 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00019, 'val_kl_Loss_Z': 0.87074}
7 not saved {'val_OrigRecLoss': 0.00067, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 0.86998}
8 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 0.84119}
9 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 0.83284}
10 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.78301}
11 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.77995}
12 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 0.80971}
13 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00014, 'val_kl_Loss_Z': 0.74638}
14 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00014, 'val_kl_Loss_Z': 0.81603}
15 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00013, 'val_kl_Loss_Z': 0.78802}
16 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00013, 'val_kl_Loss_Z': 0.79119}
17 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00013, 'val_kl_Loss_Z': 0.73866}
18 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00011, 'val_kl_Loss_Z': 0.6984}
19 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00011, 'val_kl_Loss_Z': 0.70716}
20 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00011, 'val_kl_Loss_Z': 0.67767}
