51 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.57076}
52 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.56486}
53 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.60275}
54 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 2e-05, 'val_kl_Loss_Z': 0.54338}
55 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 2e-05, 'val_kl_Loss_Z': 0.53018}
56 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 2e-05, 'val_kl_Loss_Z': 0.53768}
57 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 2e-05, 'val_kl_Loss_Z': 0.51008}
58 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 2e-05, 'val_kl_Loss_Z': 0.50301}
59 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 2e-05, 'val_kl_Loss_Z': 0.55005}
60 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 2e-05, 'val_kl_Loss_Z': 0.48033}
61 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 2e-05, 'val_kl_Loss_Z': 0.47035}
62 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 2e-05, 'val_kl_Loss_Z': 0.45287}
63 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 2e-05, 'val_kl_Loss_Z': 0.47553}
64 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 2e-05, 'val_kl_Loss_Z': 0.43656}
65 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 2e-05, 'val_kl_Loss_Z': 0.42135}
66 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 2e-05, 'val_kl_Loss_Z': 0.42627}
67 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 2e-05, 'val_kl_Loss_Z': 0.40486}
68 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 2e-05, 'val_kl_Loss_Z': 0.40185}
69 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 2e-05, 'val_kl_Loss_Z': 0.46217}
70 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 2e-05, 'val_kl_Loss_Z': 0.3887}
71 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 2e-05, 'val_kl_Loss_Z': 0.37122}
72 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.36756}
73 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.37859}
74 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.36159}
75 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.35188}
76 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.34643}
77 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.3426}
78 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.34676}
79 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 2e-05, 'val_kl_Loss_Z': 0.5376}
80 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.34693}
81 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.32708}
82 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.31783}
83 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.31521}
84 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.30811}
85 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.30519}
86 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.32621}
