39 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.5452, 'val_kl_Loss_FC': 7e-05}
40 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.54548, 'val_kl_Loss_FC': 0.00014}
41 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.5377, 'val_kl_Loss_FC': 0.00014}
42 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.53102, 'val_kl_Loss_FC': 0.0001}
43 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.54791, 'val_kl_Loss_FC': 0.0002}
44 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.54614, 'val_kl_Loss_FC': 0.00014}
45 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.55253, 'val_kl_Loss_FC': 0.00015}
46 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.55741, 'val_kl_Loss_FC': 0.0002}
47 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.53292, 'val_kl_Loss_FC': 0.00013}
48 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.537, 'val_kl_Loss_FC': 0.00027}
49 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.53684, 'val_kl_Loss_FC': 0.0002}
50 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.56069, 'val_kl_Loss_FC': 0.00065}
51 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.57385, 'val_kl_Loss_FC': 0.00014}
52 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.53819, 'val_kl_Loss_FC': 0.00021}
53 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.50431, 'val_kl_Loss_FC': 0.00048}
54 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.5033, 'val_kl_Loss_FC': 0.00073}
55 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.48505, 'val_kl_Loss_FC': 8e-05}
56 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.46601, 'val_kl_Loss_FC': 0.00027}
57 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.49028, 'val_kl_Loss_FC': 0.00054}
58 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.50397, 'val_kl_Loss_FC': 0.0004}
59 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.4396, 'val_kl_Loss_FC': 0.00034}
60 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.43647, 'val_kl_Loss_FC': 0.00061}
61 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.44206, 'val_kl_Loss_FC': 0.00063}
62 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.43802, 'val_kl_Loss_FC': 0.00039}
63 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.44141, 'val_kl_Loss_FC': 0.00039}
64 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.41755, 'val_kl_Loss_FC': 0.00022}
65 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.41852, 'val_kl_Loss_FC': 0.00039}
66 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.40685, 'val_kl_Loss_FC': 0.00044}
67 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.40026, 'val_kl_Loss_FC': 0.00048}
68 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.39822, 'val_kl_Loss_FC': 0.00046}
69 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.40123, 'val_kl_Loss_FC': 0.00072}
70 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.42463, 'val_kl_Loss_FC': 0.00083}
71 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.43115, 'val_kl_Loss_FC': 0.00108}
72 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.41867, 'val_kl_Loss_FC': 0.00072}
73 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.47355, 'val_kl_Loss_FC': 0.00121}
74 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.37802, 'val_kl_Loss_FC': 0.00078}
75 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.38697, 'val_kl_Loss_FC': 0.00074}
76 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.39055, 'val_kl_Loss_FC': 0.00085}
77 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.37814, 'val_kl_Loss_FC': 0.00089}
78 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.36603, 'val_kl_Loss_FC': 0.00097}
79 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.37107, 'val_kl_Loss_FC': 0.00079}
80 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.79843, 'val_kl_Loss_FC': 0.00046}
81 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.35698, 'val_kl_Loss_FC': 0.00102}
82 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.37018, 'val_kl_Loss_FC': 0.00106}
83 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.37733, 'val_kl_Loss_FC': 0.00084}
84 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.37857, 'val_kl_Loss_FC': 0.00098}
85 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.36554, 'val_kl_Loss_FC': 0.00083}
86 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.35839, 'val_kl_Loss_FC': 0.00084}
87 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.79302, 'val_kl_Loss_FC': 0.00118}
88 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.38329, 'val_kl_Loss_FC': 0.00098}
89 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.35948, 'val_kl_Loss_FC': 0.00091}
90 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.36092, 'val_kl_Loss_FC': 0.00103}
91 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.33502, 'val_kl_Loss_FC': 0.00071}
92 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.34367, 'val_kl_Loss_FC': 0.00102}
93 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.36553, 'val_kl_Loss_FC': 0.00128}
94 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.35444, 'val_kl_Loss_FC': 0.00105}
95 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.33034, 'val_kl_Loss_FC': 0.00062}
96 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.35588, 'val_kl_Loss_FC': 0.00109}
97 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.34974, 'val_kl_Loss_FC': 0.00082}
98 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.31415, 'val_kl_Loss_FC': 0.00054}
99 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.30957, 'val_kl_Loss_FC': 0.00025}
100 not saved {'val_OrigRecLoss': 0.00067, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.32271, 'val_kl_Loss_FC': 0.00064}
101 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.30948, 'val_kl_Loss_FC': 0.00102}
102 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.30638, 'val_kl_Loss_FC': 0.00042}
103 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.30518, 'val_kl_Loss_FC': 0.00067}
104 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.30319, 'val_kl_Loss_FC': 0.00087}
105 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.30702, 'val_kl_Loss_FC': 0.00091}
106 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.37332, 'val_kl_Loss_FC': 0.00038}
107 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.29461, 'val_kl_Loss_FC': 0.00094}
108 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.30015, 'val_kl_Loss_FC': 0.00055}
109 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.30195, 'val_kl_Loss_FC': 0.00079}
110 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.29983, 'val_kl_Loss_FC': 0.00026}
111 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.41568, 'val_kl_Loss_FC': 0.00079}
112 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.3178, 'val_kl_Loss_FC': 0.00048}
113 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.27769, 'val_kl_Loss_FC': 0.00073}
114 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.28371, 'val_kl_Loss_FC': 0.00072}
115 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.27347, 'val_kl_Loss_FC': 0.00089}
116 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.27063, 'val_kl_Loss_FC': 0.00073}
117 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.27558, 'val_kl_Loss_FC': 0.00071}
118 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.28996, 'val_kl_Loss_FC': 0.00105}
119 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.28319, 'val_kl_Loss_FC': 0.00083}
120 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.27499, 'val_kl_Loss_FC': 0.00094}
121 saved {'val_OrigRecLoss': 0.00059, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.25978, 'val_kl_Loss_FC': 0.00085}
122 not saved {'val_OrigRecLoss': 0.00059, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.85627, 'val_kl_Loss_FC': 0.00059}
123 not saved {'val_OrigRecLoss': 0.00059, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.3219, 'val_kl_Loss_FC': 0.00099}
124 not saved {'val_OrigRecLoss': 0.00059, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.2776, 'val_kl_Loss_FC': 0.00083}
125 not saved {'val_OrigRecLoss': 0.00073, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.42072, 'val_kl_Loss_FC': 0.00045}
126 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.26598, 'val_kl_Loss_FC': 0.00081}
127 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.24441, 'val_kl_Loss_FC': 0.00071}
128 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.27652, 'val_kl_Loss_FC': 0.00101}
129 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.29418, 'val_kl_Loss_FC': 0.00101}
130 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.26825, 'val_kl_Loss_FC': 0.0009}
131 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.26132, 'val_kl_Loss_FC': 0.00097}
132 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.28031, 'val_kl_Loss_FC': 0.00109}
