1 saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00047, 'val_kl_Loss_Z': 1.3613, 'val_kl_Loss_FC': 0.00097, 'val_kl_Loss_TC': 0.00508, 'val_kl_Loss_DTC': 0.01}
2 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 2.18884, 'val_kl_Loss_FC': 0.00012, 'val_kl_Loss_TC': 0.00973, 'val_kl_Loss_DTC': 0.01}
3 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.86553, 'val_kl_Loss_FC': 0.00023, 'val_kl_Loss_TC': 0.0009, 'val_kl_Loss_DTC': 0.01}
4 saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.6108, 'val_kl_Loss_FC': 0.0006, 'val_kl_Loss_TC': 0.00127, 'val_kl_Loss_DTC': 0.01}
5 saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.55317, 'val_kl_Loss_FC': 0.00093, 'val_kl_Loss_TC': 0.01026, 'val_kl_Loss_DTC': 0.01}
6 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.38276, 'val_kl_Loss_FC': 0.00093, 'val_kl_Loss_TC': 0.00723, 'val_kl_Loss_DTC': 0.01}
7 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.22751, 'val_kl_Loss_FC': 0.00037, 'val_kl_Loss_TC': 0.01829, 'val_kl_Loss_DTC': 0.01}
8 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.12178, 'val_kl_Loss_FC': 0.00114, 'val_kl_Loss_TC': 0.00117, 'val_kl_Loss_DTC': 0.01}
9 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.0337, 'val_kl_Loss_FC': 0.0008, 'val_kl_Loss_TC': 0.00062, 'val_kl_Loss_DTC': 0.01}
10 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.94908, 'val_kl_Loss_FC': 0.00079, 'val_kl_Loss_TC': 0.00658, 'val_kl_Loss_DTC': 0.00999}
11 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.9298, 'val_kl_Loss_FC': 0.00101, 'val_kl_Loss_TC': 0.00053, 'val_kl_Loss_DTC': 0.01}
12 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.88708, 'val_kl_Loss_FC': 0.00081, 'val_kl_Loss_TC': 0.0133, 'val_kl_Loss_DTC': 0.01}
13 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.8667, 'val_kl_Loss_FC': 0.00161, 'val_kl_Loss_TC': 0.00061, 'val_kl_Loss_DTC': 0.00999}
14 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.80616, 'val_kl_Loss_FC': 0.00048, 'val_kl_Loss_TC': 0.0058, 'val_kl_Loss_DTC': 0.00998}
15 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.80452, 'val_kl_Loss_FC': 0.00062, 'val_kl_Loss_TC': 0.00312, 'val_kl_Loss_DTC': 0.00997}
16 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.81033, 'val_kl_Loss_FC': 0.00128, 'val_kl_Loss_TC': 0.00552, 'val_kl_Loss_DTC': 0.00998}
17 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.74354, 'val_kl_Loss_FC': 0.00058, 'val_kl_Loss_TC': 0.00079, 'val_kl_Loss_DTC': 0.00997}
18 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.73985, 'val_kl_Loss_FC': 0.00069, 'val_kl_Loss_TC': 0.00128, 'val_kl_Loss_DTC': 0.00993}
19 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.7172, 'val_kl_Loss_FC': 0.00094, 'val_kl_Loss_TC': 0.00054, 'val_kl_Loss_DTC': 0.0099}
20 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.69314, 'val_kl_Loss_FC': 0.00115, 'val_kl_Loss_TC': 0.00217, 'val_kl_Loss_DTC': 0.00953}
21 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.65518, 'val_kl_Loss_FC': 0.00119, 'val_kl_Loss_TC': 0.00069, 'val_kl_Loss_DTC': 0.00962}
22 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.69066, 'val_kl_Loss_FC': 0.00103, 'val_kl_Loss_TC': 0.00685, 'val_kl_Loss_DTC': 0.00335}
23 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.67034, 'val_kl_Loss_FC': 0.00102, 'val_kl_Loss_TC': 0.00189, 'val_kl_Loss_DTC': 0.00762}
24 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.68693, 'val_kl_Loss_FC': 0.00072, 'val_kl_Loss_TC': 0.0003, 'val_kl_Loss_DTC': 0.00476}
25 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.6529, 'val_kl_Loss_FC': 0.00065, 'val_kl_Loss_TC': 0.00073, 'val_kl_Loss_DTC': 0.00141}
26 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.62511, 'val_kl_Loss_FC': 0.00044, 'val_kl_Loss_TC': 0.00123, 'val_kl_Loss_DTC': 0.00241}
27 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.6817, 'val_kl_Loss_FC': 0.00157, 'val_kl_Loss_TC': 0.00329, 'val_kl_Loss_DTC': 0.0022}
28 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.62824, 'val_kl_Loss_FC': 0.00063, 'val_kl_Loss_TC': 0.00286, 'val_kl_Loss_DTC': 0.00331}
29 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.60032, 'val_kl_Loss_FC': 0.00061, 'val_kl_Loss_TC': 0.00637, 'val_kl_Loss_DTC': 0.00186}
30 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.63645, 'val_kl_Loss_FC': 0.00115, 'val_kl_Loss_TC': 0.00703, 'val_kl_Loss_DTC': 0.0042}
31 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.61087, 'val_kl_Loss_FC': 0.00099, 'val_kl_Loss_TC': 0.0005, 'val_kl_Loss_DTC': 0.00271}
32 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.57489, 'val_kl_Loss_FC': 0.00059, 'val_kl_Loss_TC': 0.00499, 'val_kl_Loss_DTC': 0.00078}
33 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.61303, 'val_kl_Loss_FC': 0.00109, 'val_kl_Loss_TC': 0.00352, 'val_kl_Loss_DTC': 0.0018}
34 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.60978, 'val_kl_Loss_FC': 0.00058, 'val_kl_Loss_TC': 0.00096, 'val_kl_Loss_DTC': 0.00155}
35 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.58454, 'val_kl_Loss_FC': 0.00103, 'val_kl_Loss_TC': 0.00063, 'val_kl_Loss_DTC': 0.00147}
36 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.5654, 'val_kl_Loss_FC': 0.00087, 'val_kl_Loss_TC': 0.00366, 'val_kl_Loss_DTC': 0.00142}
37 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.55176, 'val_kl_Loss_FC': 0.00067, 'val_kl_Loss_TC': 0.00501, 'val_kl_Loss_DTC': 0.00096}
38 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.57902, 'val_kl_Loss_FC': 0.00115, 'val_kl_Loss_TC': 0.01468, 'val_kl_Loss_DTC': 0.00161}
39 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.56733, 'val_kl_Loss_FC': 0.00127, 'val_kl_Loss_TC': 0.00067, 'val_kl_Loss_DTC': 0.00294}
40 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.55896, 'val_kl_Loss_FC': 0.00086, 'val_kl_Loss_TC': 0.00499, 'val_kl_Loss_DTC': 0.00193}
41 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.54889, 'val_kl_Loss_FC': 0.00104, 'val_kl_Loss_TC': 0.00616, 'val_kl_Loss_DTC': 0.001}
42 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.51324, 'val_kl_Loss_FC': 0.00065, 'val_kl_Loss_TC': 0.00663, 'val_kl_Loss_DTC': 0.00109}
43 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.52191, 'val_kl_Loss_FC': 0.00095, 'val_kl_Loss_TC': 0.00178, 'val_kl_Loss_DTC': 0.00082}
44 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.50999, 'val_kl_Loss_FC': 0.00106, 'val_kl_Loss_TC': 0.00102, 'val_kl_Loss_DTC': 0.00625}
45 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.53532, 'val_kl_Loss_FC': 0.00125, 'val_kl_Loss_TC': 0.00414, 'val_kl_Loss_DTC': 0.00355}
46 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.54951, 'val_kl_Loss_FC': 0.00141, 'val_kl_Loss_TC': 0.00205, 'val_kl_Loss_DTC': 0.00314}
47 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.5345, 'val_kl_Loss_FC': 0.00137, 'val_kl_Loss_TC': 0.00266, 'val_kl_Loss_DTC': 0.00385}
48 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.49682, 'val_kl_Loss_FC': 0.00088, 'val_kl_Loss_TC': 0.00356, 'val_kl_Loss_DTC': 0.00132}
49 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.4884, 'val_kl_Loss_FC': 0.00079, 'val_kl_Loss_TC': 0.00436, 'val_kl_Loss_DTC': 0.00228}
50 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.47755, 'val_kl_Loss_FC': 0.00059, 'val_kl_Loss_TC': 0.00295, 'val_kl_Loss_DTC': 0.00116}
51 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.4986, 'val_kl_Loss_FC': 0.00128, 'val_kl_Loss_TC': 0.00399, 'val_kl_Loss_DTC': 0.00205}
52 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.45268, 'val_kl_Loss_FC': 0.00067, 'val_kl_Loss_TC': 0.00259, 'val_kl_Loss_DTC': 0.00284}
53 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.44816, 'val_kl_Loss_FC': 0.00118, 'val_kl_Loss_TC': 0.00145, 'val_kl_Loss_DTC': 0.00121}
54 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.44526, 'val_kl_Loss_FC': 0.0006, 'val_kl_Loss_TC': 0.00089, 'val_kl_Loss_DTC': 0.00239}
55 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.48589, 'val_kl_Loss_FC': 0.00148, 'val_kl_Loss_TC': 0.00525, 'val_kl_Loss_DTC': 0.002}
56 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.48758, 'val_kl_Loss_FC': 0.00147, 'val_kl_Loss_TC': 0.00711, 'val_kl_Loss_DTC': 0.00159}
57 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.43389, 'val_kl_Loss_FC': 0.00086, 'val_kl_Loss_TC': 0.00638, 'val_kl_Loss_DTC': 0.00425}
58 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.46569, 'val_kl_Loss_FC': 0.0011, 'val_kl_Loss_TC': 0.00189, 'val_kl_Loss_DTC': 0.0029}
59 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.44997, 'val_kl_Loss_FC': 0.00041, 'val_kl_Loss_TC': 0.00726, 'val_kl_Loss_DTC': 0.0011}
60 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.42499, 'val_kl_Loss_FC': 0.00072, 'val_kl_Loss_TC': 0.00697, 'val_kl_Loss_DTC': 0.00121}
