27 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 3.73601, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.89238, 'val_kl_Loss_MI': 5.0259}
28 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 4.49402, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.87298, 'val_kl_Loss_MI': 5.00396}
29 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.80105, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.8541, 'val_kl_Loss_MI': 4.98648}
30 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 3.33729, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 126.85789, 'val_kl_Loss_MI': 4.99702}
31 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.93282, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.87347, 'val_kl_Loss_MI': 5.01562}
32 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.08925, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.86167, 'val_kl_Loss_MI': 5.00164}
33 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 3.44018, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 126.84519, 'val_kl_Loss_MI': 4.98264}
34 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 4.56805, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 126.83589, 'val_kl_Loss_MI': 4.9686}
35 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.69737, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 126.84187, 'val_kl_Loss_MI': 4.96628}
36 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.52097, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.84009, 'val_kl_Loss_MI': 4.95285}
37 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.40057, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.8452, 'val_kl_Loss_MI': 4.93952}
38 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.60982, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.87036, 'val_kl_Loss_MI': 4.89984}
39 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00028, 'val_kl_Loss_Z': 4.15837, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.92443, 'val_kl_Loss_MI': 4.75184}
40 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.68691, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 128.02101, 'val_kl_Loss_MI': 2.8348}
41 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 7.04372, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 128.04826, 'val_kl_Loss_MI': 0.67242}
42 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00029, 'val_kl_Loss_Z': 3.45053, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 125.88465, 'val_kl_Loss_MI': 2.08175}
43 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.62363, 'val_kl_Loss_FC': 6e-05, 'val_kl_Loss_TC': 125.64518, 'val_kl_Loss_MI': 1.11161}
44 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 6.84925, 'val_kl_Loss_FC': 0.00022, 'val_kl_Loss_TC': 124.58526, 'val_kl_Loss_MI': 1.48684}
45 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 13.4108, 'val_kl_Loss_FC': 0.00034, 'val_kl_Loss_TC': 123.58378, 'val_kl_Loss_MI': 1.88148}
46 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.20099, 'val_kl_Loss_FC': 8e-05, 'val_kl_Loss_TC': 123.68778, 'val_kl_Loss_MI': 1.25983}
47 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 13.70191, 'val_kl_Loss_FC': 0.00027, 'val_kl_Loss_TC': 123.66437, 'val_kl_Loss_MI': 0.78099}
48 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00028, 'val_kl_Loss_Z': 23.52381, 'val_kl_Loss_FC': 0.0001, 'val_kl_Loss_TC': 126.52286, 'val_kl_Loss_MI': 0.93891}
49 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 12.44388, 'val_kl_Loss_FC': 0.00017, 'val_kl_Loss_TC': 123.11304, 'val_kl_Loss_MI': 1.41921}
50 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.73293, 'val_kl_Loss_FC': 8e-05, 'val_kl_Loss_TC': 122.19073, 'val_kl_Loss_MI': 1.88245}
51 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 16.12773, 'val_kl_Loss_FC': 0.00011, 'val_kl_Loss_TC': 121.9337, 'val_kl_Loss_MI': 2.78784}
52 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 4.18812, 'val_kl_Loss_FC': 0.00022, 'val_kl_Loss_TC': 122.4657, 'val_kl_Loss_MI': 0.91961}
53 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 7.53951, 'val_kl_Loss_FC': 5e-05, 'val_kl_Loss_TC': 121.6288, 'val_kl_Loss_MI': 1.05726}
54 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 5.96773, 'val_kl_Loss_FC': 0.00021, 'val_kl_Loss_TC': 121.33233, 'val_kl_Loss_MI': 1.02861}
55 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 9.57635, 'val_kl_Loss_FC': 0.00028, 'val_kl_Loss_TC': 120.91381, 'val_kl_Loss_MI': 1.31353}
56 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.77336, 'val_kl_Loss_FC': 0.00047, 'val_kl_Loss_TC': 120.82242, 'val_kl_Loss_MI': 1.29625}
57 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 3.28637, 'val_kl_Loss_FC': 0.00023, 'val_kl_Loss_TC': 120.5259, 'val_kl_Loss_MI': 1.31529}
58 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 9.06931, 'val_kl_Loss_FC': 0.00035, 'val_kl_Loss_TC': 120.16557, 'val_kl_Loss_MI': 1.72358}
59 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 8.2135, 'val_kl_Loss_FC': 0.00058, 'val_kl_Loss_TC': 120.12031, 'val_kl_Loss_MI': 1.33503}
60 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 13.13813, 'val_kl_Loss_FC': 0.00049, 'val_kl_Loss_TC': 119.74239, 'val_kl_Loss_MI': 1.64817}
61 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 6.77457, 'val_kl_Loss_FC': 0.00041, 'val_kl_Loss_TC': 119.47012, 'val_kl_Loss_MI': 1.66076}
62 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 12.59668, 'val_kl_Loss_FC': 0.00028, 'val_kl_Loss_TC': 119.13449, 'val_kl_Loss_MI': 1.94059}
63 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 14.18162, 'val_kl_Loss_FC': 0.00028, 'val_kl_Loss_TC': 119.28365, 'val_kl_Loss_MI': 1.70332}
64 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 21.45988, 'val_kl_Loss_FC': 0.00052, 'val_kl_Loss_TC': 119.11999, 'val_kl_Loss_MI': 1.86653}
65 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 9.44203, 'val_kl_Loss_FC': 0.00045, 'val_kl_Loss_TC': 119.14723, 'val_kl_Loss_MI': 1.75284}
66 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.75581, 'val_kl_Loss_FC': 0.00034, 'val_kl_Loss_TC': 119.27771, 'val_kl_Loss_MI': 1.47662}
67 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.76543, 'val_kl_Loss_FC': 0.00026, 'val_kl_Loss_TC': 119.47233, 'val_kl_Loss_MI': 1.34722}
68 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 3.04639, 'val_kl_Loss_FC': 0.00038, 'val_kl_Loss_TC': 118.82772, 'val_kl_Loss_MI': 1.94489}
69 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 10.45219, 'val_kl_Loss_FC': 0.00025, 'val_kl_Loss_TC': 119.00317, 'val_kl_Loss_MI': 1.67114}
70 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 15.74783, 'val_kl_Loss_FC': 0.00031, 'val_kl_Loss_TC': 119.00064, 'val_kl_Loss_MI': 1.60225}
71 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.50656, 'val_kl_Loss_FC': 0.00036, 'val_kl_Loss_TC': 118.62883, 'val_kl_Loss_MI': 2.14399}
72 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 3.11822, 'val_kl_Loss_FC': 0.00045, 'val_kl_Loss_TC': 119.29582, 'val_kl_Loss_MI': 1.33294}
73 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 11.05542, 'val_kl_Loss_FC': 0.00043, 'val_kl_Loss_TC': 118.57142, 'val_kl_Loss_MI': 2.2561}
74 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 3.62057, 'val_kl_Loss_FC': 0.00029, 'val_kl_Loss_TC': 118.94411, 'val_kl_Loss_MI': 1.68037}
75 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 3.85056, 'val_kl_Loss_FC': 0.00044, 'val_kl_Loss_TC': 118.98617, 'val_kl_Loss_MI': 1.63542}
76 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 20.48925, 'val_kl_Loss_FC': 0.00051, 'val_kl_Loss_TC': 118.76079, 'val_kl_Loss_MI': 2.00746}
77 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 11.84211, 'val_kl_Loss_FC': 0.0002, 'val_kl_Loss_TC': 118.87541, 'val_kl_Loss_MI': 1.79301}
78 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.57519, 'val_kl_Loss_FC': 0.00025, 'val_kl_Loss_TC': 118.74779, 'val_kl_Loss_MI': 1.93356}
79 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 10.27158, 'val_kl_Loss_FC': 0.00023, 'val_kl_Loss_TC': 118.83027, 'val_kl_Loss_MI': 1.78905}
80 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 8.50909, 'val_kl_Loss_FC': 0.00045, 'val_kl_Loss_TC': 118.90902, 'val_kl_Loss_MI': 1.78832}
81 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 7.70412, 'val_kl_Loss_FC': 0.00043, 'val_kl_Loss_TC': 118.61029, 'val_kl_Loss_MI': 2.00349}
82 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 3.79609, 'val_kl_Loss_FC': 0.00042, 'val_kl_Loss_TC': 118.28327, 'val_kl_Loss_MI': 2.3759}
83 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 12.02282, 'val_kl_Loss_FC': 0.00038, 'val_kl_Loss_TC': 118.69879, 'val_kl_Loss_MI': 1.7684}
84 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 13.91185, 'val_kl_Loss_FC': 0.00047, 'val_kl_Loss_TC': 118.28011, 'val_kl_Loss_MI': 2.68859}
