26 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.711, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00087, 'val_kl_Loss_DTC': 0.00117}
27 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.6795, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00363, 'val_kl_Loss_DTC': 0.00198}
28 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.69547, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.0109, 'val_kl_Loss_DTC': 0.00214}
29 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.64927, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00276, 'val_kl_Loss_DTC': 0.00233}
30 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.6459, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00913, 'val_kl_Loss_DTC': 0.00124}
31 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.63803, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00175, 'val_kl_Loss_DTC': 0.0012}
32 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.64014, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.0059, 'val_kl_Loss_DTC': 0.00135}
33 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.60691, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00238, 'val_kl_Loss_DTC': 0.00119}
34 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.60639, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00384, 'val_kl_Loss_DTC': 0.00147}
35 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.59666, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00057, 'val_kl_Loss_DTC': 0.00115}
36 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.67947, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00071, 'val_kl_Loss_DTC': 0.00249}
37 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.5828, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00688, 'val_kl_Loss_DTC': 0.00104}
38 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.56431, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.0012, 'val_kl_Loss_DTC': 0.0014}
39 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.56658, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00265, 'val_kl_Loss_DTC': 0.00156}
40 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.60637, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00416, 'val_kl_Loss_DTC': 0.00151}
41 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.54054, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00515, 'val_kl_Loss_DTC': 0.00141}
42 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.53184, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00192, 'val_kl_Loss_DTC': 0.00105}
43 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.54504, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00446, 'val_kl_Loss_DTC': 0.00115}
44 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.56828, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00131, 'val_kl_Loss_DTC': 0.00157}
45 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.51887, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00212, 'val_kl_Loss_DTC': 0.00127}
46 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.50413, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00326, 'val_kl_Loss_DTC': 0.00103}
47 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.61827, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00373, 'val_kl_Loss_DTC': 0.00366}
48 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.5152, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00741, 'val_kl_Loss_DTC': 0.00193}
49 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.49622, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00654, 'val_kl_Loss_DTC': 0.00079}
50 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.48449, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00405, 'val_kl_Loss_DTC': 0.00107}
51 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.4716, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00284, 'val_kl_Loss_DTC': 0.00106}
52 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.47342, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.0023, 'val_kl_Loss_DTC': 0.00093}
53 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.45915, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00126, 'val_kl_Loss_DTC': 0.00106}
54 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.45671, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00978, 'val_kl_Loss_DTC': 0.00104}
55 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.45796, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00458, 'val_kl_Loss_DTC': 0.00054}
56 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.45866, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00377, 'val_kl_Loss_DTC': 0.00071}
57 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.44378, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00431, 'val_kl_Loss_DTC': 0.00075}
58 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.42988, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00353, 'val_kl_Loss_DTC': 0.00077}
59 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.43312, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00444, 'val_kl_Loss_DTC': 0.0007}
