26 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.4848, 'val_kl_Loss_FC': 0.0001, 'val_kl_Loss_TC': 123.78644, 'val_kl_Loss_MI': 4.91949}
27 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.26971, 'val_kl_Loss_FC': 0.00017, 'val_kl_Loss_TC': 123.78583, 'val_kl_Loss_MI': 4.91403}
28 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 4.10848, 'val_kl_Loss_FC': 0.00011, 'val_kl_Loss_TC': 123.77904, 'val_kl_Loss_MI': 4.90711}
29 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.68232, 'val_kl_Loss_FC': 0.00018, 'val_kl_Loss_TC': 123.76324, 'val_kl_Loss_MI': 4.88954}
30 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.65051, 'val_kl_Loss_FC': 0.00018, 'val_kl_Loss_TC': 123.75563, 'val_kl_Loss_MI': 4.88242}
31 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 6.64024, 'val_kl_Loss_FC': 0.00021, 'val_kl_Loss_TC': 123.75803, 'val_kl_Loss_MI': 4.88137}
32 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.7141, 'val_kl_Loss_FC': 0.00071, 'val_kl_Loss_TC': 123.76662, 'val_kl_Loss_MI': 4.88347}
33 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.55171, 'val_kl_Loss_FC': 0.00027, 'val_kl_Loss_TC': 123.78467, 'val_kl_Loss_MI': 4.8907}
34 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.83327, 'val_kl_Loss_FC': 5e-05, 'val_kl_Loss_TC': 123.77124, 'val_kl_Loss_MI': 4.87387}
35 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.50243, 'val_kl_Loss_FC': 8e-05, 'val_kl_Loss_TC': 123.77406, 'val_kl_Loss_MI': 4.87023}
36 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 3.4992, 'val_kl_Loss_FC': 0.00026, 'val_kl_Loss_TC': 123.76932, 'val_kl_Loss_MI': 4.86393}
37 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.85367, 'val_kl_Loss_FC': 8e-05, 'val_kl_Loss_TC': 123.78723, 'val_kl_Loss_MI': 4.86571}
38 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.5092, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 123.78086, 'val_kl_Loss_MI': 4.85336}
