26 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.5984, 'val_kl_Loss_FC': 0.00024, 'val_kl_Loss_TC': 215.90753, 'val_kl_Loss_MI': 4.95048}
27 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.83096, 'val_kl_Loss_FC': 3e-05, 'val_kl_Loss_TC': 215.8667, 'val_kl_Loss_MI': 4.91811}
28 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.29935, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 215.87144, 'val_kl_Loss_MI': 4.92381}
29 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 4.48539, 'val_kl_Loss_FC': 7e-05, 'val_kl_Loss_TC': 215.87037, 'val_kl_Loss_MI': 4.92491}
30 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.02531, 'val_kl_Loss_FC': 0.0002, 'val_kl_Loss_TC': 215.87755, 'val_kl_Loss_MI': 4.93093}
31 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 4.02793, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 215.85854, 'val_kl_Loss_MI': 4.91333}
32 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.26087, 'val_kl_Loss_FC': 6e-05, 'val_kl_Loss_TC': 215.85931, 'val_kl_Loss_MI': 4.91624}
33 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.95201, 'val_kl_Loss_FC': 0.00011, 'val_kl_Loss_TC': 215.87065, 'val_kl_Loss_MI': 4.92837}
34 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.31362, 'val_kl_Loss_FC': 4e-05, 'val_kl_Loss_TC': 215.84896, 'val_kl_Loss_MI': 4.90572}
35 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 5.20128, 'val_kl_Loss_FC': 0.0002, 'val_kl_Loss_TC': 215.83961, 'val_kl_Loss_MI': 4.90002}
36 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.21582, 'val_kl_Loss_FC': 0.00018, 'val_kl_Loss_TC': 215.83552, 'val_kl_Loss_MI': 4.89684}
37 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 3.47783, 'val_kl_Loss_FC': 4e-05, 'val_kl_Loss_TC': 215.83949, 'val_kl_Loss_MI': 4.90436}
38 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.35032, 'val_kl_Loss_FC': 4e-05, 'val_kl_Loss_TC': 215.82921, 'val_kl_Loss_MI': 4.89538}
39 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.35268, 'val_kl_Loss_FC': 0.00022, 'val_kl_Loss_TC': 215.81851, 'val_kl_Loss_MI': 4.88649}
40 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.43313, 'val_kl_Loss_FC': 0.00019, 'val_kl_Loss_TC': 215.82321, 'val_kl_Loss_MI': 4.89453}
41 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.69869, 'val_kl_Loss_FC': 0.00011, 'val_kl_Loss_TC': 215.81871, 'val_kl_Loss_MI': 4.89269}
42 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 2.73954, 'val_kl_Loss_FC': 0.00016, 'val_kl_Loss_TC': 215.80615, 'val_kl_Loss_MI': 4.8828}
43 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 5.82945, 'val_kl_Loss_FC': 5e-05, 'val_kl_Loss_TC': 215.79685, 'val_kl_Loss_MI': 4.87061}
44 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 4.07635, 'val_kl_Loss_FC': 5e-05, 'val_kl_Loss_TC': 215.79858, 'val_kl_Loss_MI': 4.86709}
45 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.90542, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 215.82431, 'val_kl_Loss_MI': 4.88583}
46 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.31668, 'val_kl_Loss_FC': 0.00025, 'val_kl_Loss_TC': 215.82424, 'val_kl_Loss_MI': 4.85668}
47 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.22705, 'val_kl_Loss_FC': 3e-05, 'val_kl_Loss_TC': 215.83711, 'val_kl_Loss_MI': 4.78552}
48 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.91846, 'val_kl_Loss_FC': 0.00056, 'val_kl_Loss_TC': 215.88119, 'val_kl_Loss_MI': 4.60108}
49 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 2.82147, 'val_kl_Loss_FC': 0.00084, 'val_kl_Loss_TC': 216.05923, 'val_kl_Loss_MI': 4.06476}
50 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 3.18659, 'val_kl_Loss_FC': 7e-05, 'val_kl_Loss_TC': 215.67213, 'val_kl_Loss_MI': 1.02935}
51 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 10.38405, 'val_kl_Loss_FC': 0.0017, 'val_kl_Loss_TC': 212.62606, 'val_kl_Loss_MI': 1.29208}
52 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.6167, 'val_kl_Loss_FC': 0.00133, 'val_kl_Loss_TC': 211.28066, 'val_kl_Loss_MI': 0.82061}
53 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.66726, 'val_kl_Loss_FC': 8e-05, 'val_kl_Loss_TC': 209.83357, 'val_kl_Loss_MI': 1.52833}
54 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 9.40759, 'val_kl_Loss_FC': 0.00053, 'val_kl_Loss_TC': 207.48991, 'val_kl_Loss_MI': 2.12529}
55 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 5.99762, 'val_kl_Loss_FC': 0.00032, 'val_kl_Loss_TC': 207.44688, 'val_kl_Loss_MI': 1.37751}
56 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.48763, 'val_kl_Loss_FC': 0.00025, 'val_kl_Loss_TC': 207.09585, 'val_kl_Loss_MI': 1.34645}
57 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 5.33966, 'val_kl_Loss_FC': 0.00065, 'val_kl_Loss_TC': 206.55893, 'val_kl_Loss_MI': 1.12809}
