39 saved {'val_OrigRecLoss': 0.00256, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.0878, 'val_kl_Loss_FC': 2e-05}
40 saved {'val_OrigRecLoss': 0.00251, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 0.09443, 'val_kl_Loss_FC': 0.00017}
41 not saved {'val_OrigRecLoss': 0.00243, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.09458, 'val_kl_Loss_FC': 0.0002}
42 not saved {'val_OrigRecLoss': 0.00254, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.08177, 'val_kl_Loss_FC': 4e-05}
43 not saved {'val_OrigRecLoss': 0.00231, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.08441, 'val_kl_Loss_FC': 5e-05}
44 not saved {'val_OrigRecLoss': 0.00232, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 0.09363, 'val_kl_Loss_FC': 0.00021}
45 not saved {'val_OrigRecLoss': 0.00224, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.08401, 'val_kl_Loss_FC': 0.00016}
46 not saved {'val_OrigRecLoss': 0.00217, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.08569, 'val_kl_Loss_FC': 0.0002}
47 not saved {'val_OrigRecLoss': 0.00214, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.08639, 'val_kl_Loss_FC': 0.00018}
48 not saved {'val_OrigRecLoss': 0.00207, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.09051, 'val_kl_Loss_FC': 0.00024}
49 not saved {'val_OrigRecLoss': 0.00201, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.08566, 'val_kl_Loss_FC': 0.00014}
50 not saved {'val_OrigRecLoss': 0.00195, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.09148, 'val_kl_Loss_FC': 0.00015}
51 not saved {'val_OrigRecLoss': 0.00198, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.08488, 'val_kl_Loss_FC': 0.00022}
52 not saved {'val_OrigRecLoss': 0.0019, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.08397, 'val_kl_Loss_FC': 0.00011}
53 not saved {'val_OrigRecLoss': 0.00189, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.07528, 'val_kl_Loss_FC': 9e-05}
54 not saved {'val_OrigRecLoss': 0.00184, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.09808, 'val_kl_Loss_FC': 0.00031}
55 not saved {'val_OrigRecLoss': 0.00179, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.08039, 'val_kl_Loss_FC': 5e-05}
56 not saved {'val_OrigRecLoss': 0.00175, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.07987, 'val_kl_Loss_FC': 4e-05}
57 not saved {'val_OrigRecLoss': 0.0018, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.08087, 'val_kl_Loss_FC': 4e-05}
58 not saved {'val_OrigRecLoss': 0.00175, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.09276, 'val_kl_Loss_FC': 0.00011}
59 not saved {'val_OrigRecLoss': 0.00174, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.0868, 'val_kl_Loss_FC': 0.00023}
